method,corruption,mean,std,seeds
baseline,brightness,72.08466666666668,0.08704787954529414,3
baseline,contrast,53.39266666666666,0.412491616076422,3
baseline,defocus_blur,58.63066666666666,0.2117577231964269,3
baseline,elastic_transform,60.425999999999995,0.1420844819112938,3
baseline,fog,63.00666666666667,0.3244708512845688,3
baseline,frost,47.72533333333333,0.27546566634216946,3
baseline,gaussian_noise,22.256666666666664,0.6859747322848926,3
baseline,glass_blur,20.630666666666666,0.1012784939329838,3
baseline,impulse_noise,24.904666666666667,0.1515827606732812,3
baseline,jpeg_compression,52.338,0.2884441020371214,3
baseline,motion_blur,53.400666666666666,0.29853196367112106,3
baseline,pixelate,51.77266666666667,0.22926258598675656,3
baseline,shot_noise,30.314666666666668,0.4984148205394115,3
baseline,snow,53.440666666666665,0.6785405907779805,3
baseline,zoom_blur,52.308,0.3690365835523644,3
cutmix_p05,brightness,73.528,0.6717172023999345,3
cutmix_p05,contrast,55.87200000000001,0.462510540420432,3
cutmix_p05,defocus_blur,60.14533333333333,0.19805386472707903,3
cutmix_p05,elastic_transform,61.27066666666667,0.08220300075626684,3
cutmix_p05,fog,63.99733333333334,0.42613299958267653,3
cutmix_p05,frost,48.00933333333333,0.06676326335143795,3
cutmix_p05,gaussian_noise,16.92533333333333,0.9731440455211802,3
cutmix_p05,glass_blur,21.54733333333333,0.695086565352355,3
cutmix_p05,impulse_noise,28.618666666666666,1.3190638094244442,3
cutmix_p05,jpeg_compression,47.50333333333333,0.5124112931360231,3
cutmix_p05,motion_blur,54.308,0.183303027798233,3
cutmix_p05,pixelate,47.428666666666665,0.513514686579981,3
cutmix_p05,shot_noise,25.044,1.047839682394208,3
cutmix_p05,snow,56.776,0.47001276578408546,3
cutmix_p05,zoom_blur,52.75533333333334,0.6798009512595067,3
cutmix_p1,brightness,73.928,0.31523324697753735,3
cutmix_p1,contrast,55.138000000000005,0.08506468127254849,3
cutmix_p1,defocus_blur,60.11599999999999,0.11532562594671521,3
cutmix_p1,elastic_transform,60.5,0.21871442567877963,3
cutmix_p1,fog,63.970666666666666,0.24003610839482903,3
cutmix_p1,frost,47.571333333333335,1.1272432449712602,3
cutmix_p1,gaussian_noise,12.283333333333331,1.443253731446183,3
cutmix_p1,glass_blur,20.96,1.0603339096718545,3
cutmix_p1,impulse_noise,25.191999999999997,3.093650917605281,3
cutmix_p1,jpeg_compression,44.88999999999999,0.9222342435628764,3
cutmix_p1,motion_blur,53.61533333333333,0.16200411517407287,3
cutmix_p1,pixelate,45.476,0.663466653269023,3
cutmix_p1,shot_noise,19.414666666666665,1.5007762435930738,3
cutmix_p1,snow,57.385333333333335,0.7002437670792454,3
cutmix_p1,zoom_blur,53.449333333333335,0.4740056258456563,3
