method,seed,corruption,accuracy
baseline,42,brightness,72.17
baseline,42,contrast,52.92999999999999
baseline,42,defocus_blur,58.67
baseline,42,elastic_transform,60.58
baseline,42,fog,62.632000000000005
baseline,42,frost,47.418
baseline,42,gaussian_noise,21.484
baseline,42,glass_blur,20.514
baseline,42,impulse_noise,24.919999999999998
baseline,42,jpeg_compression,52.098
baseline,42,motion_blur,53.056
baseline,42,pixelate,51.55
baseline,42,shot_noise,29.77
baseline,42,snow,52.90599999999999
baseline,42,zoom_blur,52.086
baseline,43,brightness,71.99600000000001
baseline,43,contrast,53.722
baseline,43,defocus_blur,58.402
baseline,43,elastic_transform,60.398
baseline,43,fog,63.194
baseline,43,frost,47.95
baseline,43,gaussian_noise,22.794
baseline,43,glass_blur,20.696
baseline,43,impulse_noise,25.048000000000002
baseline,43,jpeg_compression,52.258
baseline,43,motion_blur,53.577999999999996
baseline,43,pixelate,51.760000000000005
baseline,43,shot_noise,30.748
baseline,43,snow,53.212
baseline,43,zoom_blur,52.104
baseline,44,brightness,72.088
baseline,44,contrast,53.525999999999996
baseline,44,defocus_blur,58.82000000000001
baseline,44,elastic_transform,60.3
baseline,44,fog,63.194
baseline,44,frost,47.808
baseline,44,gaussian_noise,22.491999999999997
baseline,44,glass_blur,20.682
baseline,44,impulse_noise,24.746000000000002
baseline,44,jpeg_compression,52.658
baseline,44,motion_blur,53.568000000000005
baseline,44,pixelate,52.008
baseline,44,shot_noise,30.426
baseline,44,snow,54.20399999999999
baseline,44,zoom_blur,52.734
cutmix_p05,42,brightness,73.666
cutmix_p05,42,contrast,56.146
cutmix_p05,42,defocus_blur,60.028
cutmix_p05,42,elastic_transform,61.263999999999996
cutmix_p05,42,fog,63.784000000000006
cutmix_p05,42,frost,47.977999999999994
cutmix_p05,42,gaussian_noise,17.907999999999998
cutmix_p05,42,glass_blur,22.236
cutmix_p05,42,impulse_noise,29.662
cutmix_p05,42,jpeg_compression,47.946
cutmix_p05,42,motion_blur,54.108000000000004
cutmix_p05,42,pixelate,46.964
cutmix_p05,42,shot_noise,25.912
cutmix_p05,42,snow,57.24400000000001
cutmix_p05,42,zoom_blur,52.186
cutmix_p05,43,brightness,72.798
cutmix_p05,43,contrast,56.132000000000005
cutmix_p05,43,defocus_blur,60.034000000000006
cutmix_p05,43,elastic_transform,61.19199999999999
cutmix_p05,43,fog,63.720000000000006
cutmix_p05,43,frost,47.964
cutmix_p05,43,gaussian_noise,16.906
cutmix_p05,43,glass_blur,20.846
cutmix_p05,43,impulse_noise,29.058
cutmix_p05,43,jpeg_compression,47.622
cutmix_p05,43,motion_blur,54.468
cutmix_p05,43,pixelate,47.980000000000004
cutmix_p05,43,shot_noise,25.34
cutmix_p05,43,snow,56.303999999999995
cutmix_p05,43,zoom_blur,52.572
cutmix_p05,44,brightness,74.11999999999999
cutmix_p05,44,contrast,55.338
cutmix_p05,44,defocus_blur,60.374
cutmix_p05,44,elastic_transform,61.35600000000001
cutmix_p05,44,fog,64.488
cutmix_p05,44,frost,48.086
cutmix_p05,44,gaussian_noise,15.962
cutmix_p05,44,glass_blur,21.56
cutmix_p05,44,impulse_noise,27.136000000000003
cutmix_p05,44,jpeg_compression,46.942
cutmix_p05,44,motion_blur,54.348
cutmix_p05,44,pixelate,47.342
cutmix_p05,44,shot_noise,23.880000000000003
cutmix_p05,44,snow,56.779999999999994
cutmix_p05,44,zoom_blur,53.508
cutmix_p1,42,brightness,74.11
cutmix_p1,42,contrast,55.234
cutmix_p1,42,defocus_blur,60.00599999999999
cutmix_p1,42,elastic_transform,60.406000000000006
cutmix_p1,42,fog,64.164
cutmix_p1,42,frost,46.998000000000005
cutmix_p1,42,gaussian_noise,12.058
cutmix_p1,42,glass_blur,21.598000000000003
cutmix_p1,42,impulse_noise,26.351999999999997
cutmix_p1,42,jpeg_compression,43.844
cutmix_p1,42,motion_blur,53.794000000000004
cutmix_p1,42,pixelate,44.71
cutmix_p1,42,shot_noise,19.198
cutmix_p1,42,snow,57.364
cutmix_p1,42,zoom_blur,53.370000000000005
cutmix_p1,43,brightness,73.564
cutmix_p1,43,contrast,55.072
cutmix_p1,43,defocus_blur,60.236000000000004
cutmix_p1,43,elastic_transform,60.75
cutmix_p1,43,fog,64.046
cutmix_p1,43,frost,46.846
cutmix_p1,43,gaussian_noise,10.966
cutmix_p1,43,glass_blur,19.736
cutmix_p1,43,impulse_noise,21.686
cutmix_p1,43,jpeg_compression,45.239999999999995
cutmix_p1,43,motion_blur,53.477999999999994
cutmix_p1,43,pixelate,45.87
cutmix_p1,43,shot_noise,18.034
cutmix_p1,43,snow,56.696000000000005
cutmix_p1,43,zoom_blur,53.02
cutmix_p1,44,brightness,74.11
cutmix_p1,44,contrast,55.108000000000004
cutmix_p1,44,defocus_blur,60.105999999999995
cutmix_p1,44,elastic_transform,60.34400000000001
cutmix_p1,44,fog,63.702
cutmix_p1,44,frost,48.87
cutmix_p1,44,gaussian_noise,13.825999999999999
cutmix_p1,44,glass_blur,21.546
cutmix_p1,44,impulse_noise,27.538
cutmix_p1,44,jpeg_compression,45.586
cutmix_p1,44,motion_blur,53.574
cutmix_p1,44,pixelate,45.848
cutmix_p1,44,shot_noise,21.012
cutmix_p1,44,snow,58.096000000000004
cutmix_p1,44,zoom_blur,53.958000000000006
