method,corruption,severity,mean,std,seeds
baseline,brightness,1,75.98333333333333,0.3085989846602483,3
baseline,brightness,2,75.07666666666667,0.18876793513023274,3
baseline,brightness,3,73.43333333333334,0.20744477176669246,3
baseline,brightness,4,71.32666666666667,0.3194265695482004,3
baseline,brightness,5,64.60333333333334,0.517332903779892,3
baseline,contrast,1,74.89999999999999,0.3559494346111493,3
baseline,contrast,2,67.71666666666667,0.5000333322222933,3
baseline,contrast,3,60.026666666666664,0.8259136355172558,3
baseline,contrast,4,47.36000000000001,0.8286736390159901,3
baseline,contrast,5,16.959999999999997,0.5335728628781649,3
baseline,defocus_blur,1,75.79333333333334,0.27098585448936424,3
baseline,defocus_blur,2,72.27666666666666,0.25006665778014747,3
baseline,defocus_blur,3,62.153333333333336,0.3262412195497898,3
baseline,defocus_blur,4,50.473333333333336,0.4623130252689545,3
baseline,defocus_blur,5,32.45666666666667,0.635006561645889,3
baseline,elastic_transform,1,67.23333333333333,0.3426854728950985,3
baseline,elastic_transform,2,67.01333333333334,0.05033222956847412,3
baseline,elastic_transform,3,60.82,0.27838821814149933,3
baseline,elastic_transform,4,56.64333333333334,0.33605555096342576,3
baseline,elastic_transform,5,50.419999999999995,0.32186953878862073,3
baseline,fog,1,75.46333333333334,0.3763420430052052,3
baseline,fog,2,72.09,0.10392304845413658,3
baseline,fog,3,68.07,0.4288356328478391,3
baseline,fog,4,61.07666666666666,0.5186842327788004,3
baseline,fog,5,38.333333333333336,1.0156935233294164,3
baseline,frost,1,65.02333333333333,0.323470761172219,3
baseline,frost,2,55.4,0.41569219381653044,3
baseline,frost,3,43.406666666666666,0.2936551265231578,3
baseline,frost,4,42.166666666666664,0.5231953108862227,3
baseline,frost,5,32.63,0.4900000000000002,3
baseline,gaussian_noise,1,44.593333333333334,0.4310839052125849,3
baseline,gaussian_noise,2,26.666666666666668,0.5368736660829387,3
baseline,gaussian_noise,3,16.093333333333334,0.8074858099888381,3
baseline,gaussian_noise,4,13.14,1.0014489502715544,3
baseline,gaussian_noise,5,10.79,0.7362744053679982,3
baseline,glass_blur,1,20.58666666666667,0.18583146486355132,3
baseline,glass_blur,2,22.16333333333333,0.11676186592091395,3
baseline,glass_blur,3,26.103333333333335,0.21548395145192026,3
baseline,glass_blur,4,15.246666666666668,0.1171893055416471,3
baseline,glass_blur,5,19.05333333333333,0.06506407098647791,3
baseline,impulse_noise,1,54.71666666666667,0.20599352740640567,3
baseline,impulse_noise,2,33.04333333333333,0.17953644012659825,3
baseline,impulse_noise,3,20.766666666666666,0.2700617213403875,3
baseline,impulse_noise,4,9.96,0.1682260384126075,3
baseline,impulse_noise,5,6.036666666666666,0.3690979996333407,3
baseline,jpeg_compression,1,61.903333333333336,0.4771093515467205,3
baseline,jpeg_compression,2,54.61666666666667,0.4200396806652126,3
baseline,jpeg_compression,3,51.803333333333335,0.2844878439113595,3
baseline,jpeg_compression,4,48.88666666666666,0.3647373484212054,3
baseline,jpeg_compression,5,44.48,0.3893584466786369,3
baseline,motion_blur,1,66.91333333333334,0.08962886439832693,3
baseline,motion_blur,2,58.24666666666667,0.3707200201409864,3
baseline,motion_blur,3,49.836666666666666,0.27754879450888575,3
baseline,motion_blur,4,49.92333333333334,0.32501282025995615,3
baseline,motion_blur,5,42.083333333333336,0.5001333155602958,3
baseline,pixelate,1,72.17333333333333,0.27682726262659885,3
baseline,pixelate,2,63.843333333333334,0.6033517492585343,3
baseline,pixelate,3,58.27333333333333,0.6185736280616366,3
baseline,pixelate,4,40.64666666666667,0.4899319680663198,3
baseline,pixelate,5,23.926666666666666,0.8779711460710621,3
baseline,shot_noise,1,55.64666666666667,0.13868429375143024,3
