control,corruption,severity,mean,std,minimum,maximum,seeds
baseline,brightness,1,1.8333333333333286,0.17897858344878875,1.6799999999999926,2.030000000000001,3
baseline,brightness,2,1.7666666666666657,0.06658328118479527,1.6899999999999977,1.8100000000000023,3
baseline,brightness,3,1.4533333333333331,0.2502665245959392,1.210000000000008,1.7099999999999937,3
baseline,brightness,4,1.323333333333333,0.8403174003513955,0.46999999999999886,2.1499999999999915,3
baseline,brightness,5,0.8399999999999915,2.140747532989351,-1.500000000000007,2.6999999999999886,3
baseline,contrast,1,2.123333333333335,0.45654499595695547,1.8400000000000034,2.6500000000000057,3
baseline,contrast,2,2.196666666666663,0.7144461724534138,1.7399999999999949,3.019999999999996,3
baseline,contrast,3,2.7333333333333365,1.3092873379565444,1.8000000000000043,4.230000000000004,3
baseline,contrast,4,2.523333333333331,1.4500114942073155,1.0700000000000003,3.969999999999999,3
baseline,contrast,5,2.8200000000000003,0.19000000000000064,2.6099999999999994,2.9800000000000004,3
baseline,defocus_blur,1,2.1766666666666716,0.404268887416941,1.710000000000008,2.4200000000000017,3
baseline,defocus_blur,2,2.00666666666667,0.39374272480051814,1.75,2.460000000000008,3
baseline,defocus_blur,3,2.2733333333333334,0.6829592471980529,1.730000000000004,3.039999999999999,3
baseline,defocus_blur,4,1.8666666666666671,0.2953528962670492,1.5799999999999983,2.1700000000000017,3
baseline,defocus_blur,5,-0.7500000000000012,0.883855191759377,-1.7100000000000044,0.030000000000001137,3
baseline,elastic_transform,1,2.1166666666666694,0.20428737928059917,1.9699999999999989,2.3500000000000085,3
baseline,elastic_transform,2,1.9400000000000024,0.3269556544854371,1.6899999999999977,2.3100000000000023,3
baseline,elastic_transform,3,1.7800000000000011,0.3642801120017413,1.3599999999999994,2.010000000000005,3
baseline,elastic_transform,4,-0.6600000000000014,0.19999999999999932,-0.8599999999999994,-0.46000000000000085,3
baseline,elastic_transform,5,-0.9533333333333355,0.43108390521258577,-1.4200000000000017,-0.5700000000000003,3
baseline,fog,1,2.1033333333333246,0.3982880029995052,1.759999999999991,2.539999999999992,3
baseline,fog,2,2.020000000000001,0.31096623610932356,1.75,2.3599999999999994,3
baseline,fog,3,1.3366666666666684,0.32516662395353346,1.0499999999999972,1.690000000000012,3
baseline,fog,4,0.8000000000000019,0.6744627491566922,0.07000000000000028,1.4000000000000057,3
baseline,fog,5,-1.3066666666666673,1.4956381023942003,-2.979999999999997,-0.10000000000000142,3
baseline,frost,1,0.9266666666666717,0.6636515149785657,0.20999999999999375,1.5200000000000102,3
baseline,frost,2,0.5533333333333322,0.6268439465555463,-0.14000000000000057,1.0799999999999983,3
baseline,frost,3,0.00333333333333267,0.34268547289509455,-0.38000000000000256,0.28000000000000114,3
baseline,frost,4,-0.2066666666666658,0.6182502190321764,-0.6899999999999977,0.490000000000002,3
baseline,frost,5,0.14333333333333323,0.6639528095680668,-0.240000000000002,0.9099999999999966,3
baseline,gaussian_noise,1,-7.173333333333335,1.6800099206056291,-8.850000000000001,-5.490000000000002,3
baseline,gaussian_noise,2,-7.150000000000001,2.066373635139588,-9.0,-4.920000000000002,3
baseline,gaussian_noise,3,-4.799999999999999,1.4739063742314158,-5.719999999999999,-3.0999999999999996,3
baseline,gaussian_noise,4,-4.11,1.6455698101265712,-5.08,-2.210000000000001,3
baseline,gaussian_noise,5,-3.4233333333333333,1.0973756573449833,-4.14,-2.1599999999999993,3
baseline,glass_blur,1,0.42000000000000054,0.7014983962918229,-0.379999999999999,0.9299999999999997,3
baseline,glass_blur,2,0.6066666666666668,1.0020146372849716,-0.4299999999999997,1.5700000000000003,3
