seed,corruption,severity,accuracy_p05,accuracy_control,control,delta
42,brightness,1,77.8,76.12,baseline,1.6799999999999926
42,brightness,2,76.81,75.12,baseline,1.6899999999999977
42,brightness,3,74.91,73.47,baseline,1.4399999999999977
42,brightness,4,73.04,71.69,baseline,1.3500000000000085
42,brightness,5,65.77,64.45,baseline,1.3199999999999932
42,contrast,1,76.81,74.93,baseline,1.8799999999999955
42,contrast,2,70.16,67.14,baseline,3.019999999999996
42,contrast,3,63.31,59.08,baseline,4.230000000000004
42,contrast,4,50.4,46.43,baseline,3.969999999999999
42,contrast,5,20.05,17.07,baseline,2.9800000000000004
42,defocus_blur,1,77.76,76.05,baseline,1.710000000000008
42,defocus_blur,2,74.28,72.53,baseline,1.75
42,defocus_blur,3,64.26,62.53,baseline,1.730000000000004
42,defocus_blur,4,52.59,50.42,baseline,2.1700000000000017
42,defocus_blur,5,31.25,31.82,baseline,-0.5700000000000003
42,elastic_transform,1,69.31,67.34,baseline,1.9699999999999989
42,elastic_transform,2,68.78,66.96,baseline,1.8200000000000074
42,elastic_transform,3,62.43,61.07,baseline,1.3599999999999994
42,elastic_transform,4,56.15,57.01,baseline,-0.8599999999999994
42,elastic_transform,5,49.65,50.52,baseline,-0.8700000000000045
42,fog,1,77.35,75.59,baseline,1.759999999999991
42,fog,2,73.9,72.15,baseline,1.75
42,fog,3,69.29,67.6,baseline,1.690000000000012
42,fog,4,61.88,60.48,baseline,1.4000000000000057
42,fog,5,36.5,37.34,baseline,-0.8400000000000034
42,frost,1,65.49,65.28,baseline,0.20999999999999375
42,frost,2,56.0,54.92,baseline,1.0799999999999983
42,frost,3,43.18,43.07,baseline,0.10999999999999943
42,frost,4,42.17,41.68,baseline,0.490000000000002
42,frost,5,33.05,32.14,baseline,0.9099999999999966
42,gaussian_noise,1,38.72,44.21,baseline,-5.490000000000002
42,gaussian_noise,2,21.13,26.05,baseline,-4.920000000000002
42,gaussian_noise,3,12.13,15.23,baseline,-3.0999999999999996
42,gaussian_noise,4,9.78,11.99,baseline,-2.210000000000001
42,gaussian_noise,5,7.78,9.94,baseline,-2.1599999999999993
42,glass_blur,1,21.39,20.46,baseline,0.9299999999999997
42,glass_blur,2,23.63,22.06,baseline,1.5700000000000003
42,glass_blur,3,28.13,25.86,baseline,2.2699999999999996
42,glass_blur,4,17.21,15.2,baseline,2.0100000000000016
42,glass_blur,5,20.82,18.99,baseline,1.8300000000000018
42,impulse_noise,1,64.54,54.64,baseline,9.900000000000006
42,impulse_noise,2,43.13,33.11,baseline,10.020000000000003
42,impulse_noise,3,25.38,20.5,baseline,4.879999999999999
42,impulse_noise,4,10.18,9.9,baseline,0.27999999999999936
42,impulse_noise,5,5.08,6.45,baseline,-1.37
42,jpeg_compression,1,59.64,61.5,baseline,-1.8599999999999994
42,jpeg_compression,2,50.76,54.41,baseline,-3.6499999999999986
42,jpeg_compression,3,47.36,51.61,baseline,-4.25
42,jpeg_compression,4,43.1,48.79,baseline,-5.689999999999998
42,jpeg_compression,5,38.87,44.18,baseline,-5.310000000000002
42,motion_blur,1,68.69,66.81,baseline,1.8799999999999955
42,motion_blur,2,59.41,57.82,baseline,1.5899999999999963
42,motion_blur,3,50.1,49.54,baseline,0.5600000000000023
42,motion_blur,4,50.07,49.6,baseline,0.46999999999999886
42,motion_blur,5,42.27,41.51,baseline,0.7600000000000051
42,pixelate,1,73.15,72.21,baseline,0.9400000000000119
42,pixelate,2,63.48,63.5,baseline,-0.020000000000003126
42,pixelate,3,55.59,57.62,baseline,-2.029999999999994
42,pixelate,4,29.61,40.41,baseline,-10.799999999999997
42,pixelate,5,12.99,24.01,baseline,-11.020000000000001
42,shot_noise,1,52.75,55.61,baseline,-2.8599999999999994
42,shot_noise,2,36.49,42.58,baseline,-6.089999999999996
42,shot_noise,3,17.45,22.35,baseline,-4.900000000000002
42,shot_noise,4,13.41,16.72,baseline,-3.3099999999999987
42,shot_noise,5,9.46,11.59,baseline,-2.129999999999999
42,snow,1,71.48,66.96,baseline,4.52000000000001
42,snow,2,53.7,48.53,baseline,5.170000000000002
42,snow,3,59.6,53.97,baseline,5.630000000000003
42,snow,4,55.23,51.75,baseline,3.479999999999997
42,snow,5,46.21,43.32,baseline,2.8900000000000006
42,zoom_blur,1,66.22,64.26,baseline,1.9599999999999937
42,zoom_blur,2,60.66,59.55,baseline,1.1099999999999994
42,zoom_blur,3,52.26,52.43,baseline,-0.1700000000000017
42,zoom_blur,4,44.96,46.07,baseline,-1.1099999999999994
42,zoom_blur,5,36.83,38.12,baseline,-1.2899999999999991
43,brightness,1,77.66,75.63,baseline,2.030000000000001
43,brightness,2,76.67,74.87,baseline,1.7999999999999972
43,brightness,3,74.42,73.21,baseline,1.210000000000008
43,brightness,4,71.56,71.09,baseline,0.46999999999999886
43,brightness,5,63.68,65.18,baseline,-1.500000000000007
43,contrast,1,77.18,74.53,baseline,2.6500000000000057
43,contrast,2,69.86,68.03,baseline,1.8299999999999983
43,contrast,3,62.77,60.6,baseline,2.1700000000000017
43,contrast,4,50.55,48.02,baseline,2.529999999999994
43,contrast,5,20.3,17.43,baseline,2.870000000000001
43,defocus_blur,1,77.93,75.51,baseline,2.4200000000000017
43,defocus_blur,2,73.84,72.03,baseline,1.8100000000000023
43,defocus_blur,3,64.02,61.97,baseline,2.049999999999997
43,defocus_blur,4,51.89,50.04,baseline,1.8500000000000014
43,defocus_blur,5,32.49,32.46,baseline,0.030000000000001137
43,elastic_transform,1,69.2,66.85,baseline,2.3500000000000085
43,elastic_transform,2,68.71,67.02,baseline,1.6899999999999977
43,elastic_transform,3,62.88,60.87,baseline,2.010000000000005
43,elastic_transform,4,55.91,56.57,baseline,-0.6600000000000037
43,elastic_transform,5,49.26,50.68,baseline,-1.4200000000000017
43,fog,1,77.58,75.04,baseline,2.539999999999992
43,fog,2,73.92,71.97,baseline,1.9500000000000028
43,fog,3,69.22,68.17,baseline,1.0499999999999972
43,fog,4,61.49,61.42,baseline,0.07000000000000028
43,fog,5,36.39,39.37,baseline,-2.979999999999997
43,frost,1,66.18,64.66,baseline,1.5200000000000102
43,frost,2,55.5,55.64,baseline,-0.14000000000000057
43,frost,3,43.23,43.61,baseline,-0.38000000000000256
43,frost,4,42.03,42.72,baseline,-0.6899999999999977
43,frost,5,32.88,33.12,baseline,-0.23999999999999488
43,gaussian_noise,1,37.88,45.06,baseline,-7.18
43,gaussian_noise,2,19.5,27.03,baseline,-7.530000000000001
43,gaussian_noise,3,11.11,16.83,baseline,-5.719999999999999
43,gaussian_noise,4,8.78,13.82,baseline,-5.040000000000001
