method,seed,corruption,severity,accuracy
baseline,42,brightness,1,76.12
baseline,42,brightness,2,75.12
baseline,42,brightness,3,73.47
baseline,42,brightness,4,71.69
baseline,42,brightness,5,64.45
baseline,42,contrast,1,74.93
baseline,42,contrast,2,67.14
baseline,42,contrast,3,59.08
baseline,42,contrast,4,46.43
baseline,42,contrast,5,17.07
baseline,42,defocus_blur,1,76.05
baseline,42,defocus_blur,2,72.53
baseline,42,defocus_blur,3,62.53
baseline,42,defocus_blur,4,50.42
baseline,42,defocus_blur,5,31.82
baseline,42,elastic_transform,1,67.34
baseline,42,elastic_transform,2,66.96
baseline,42,elastic_transform,3,61.07
baseline,42,elastic_transform,4,57.01
baseline,42,elastic_transform,5,50.52
baseline,42,fog,1,75.59
baseline,42,fog,2,72.15
baseline,42,fog,3,67.6
baseline,42,fog,4,60.48
baseline,42,fog,5,37.34
baseline,42,frost,1,65.28
baseline,42,frost,2,54.92
baseline,42,frost,3,43.07
baseline,42,frost,4,41.68
baseline,42,frost,5,32.14
baseline,42,gaussian_noise,1,44.21
baseline,42,gaussian_noise,2,26.05
baseline,42,gaussian_noise,3,15.23
baseline,42,gaussian_noise,4,11.99
baseline,42,gaussian_noise,5,9.94
baseline,42,glass_blur,1,20.46
baseline,42,glass_blur,2,22.06
baseline,42,glass_blur,3,25.86
baseline,42,glass_blur,4,15.2
baseline,42,glass_blur,5,18.99
baseline,42,impulse_noise,1,54.64
baseline,42,impulse_noise,2,33.11
baseline,42,impulse_noise,3,20.5
baseline,42,impulse_noise,4,9.9
baseline,42,impulse_noise,5,6.45
baseline,42,jpeg_compression,1,61.5
baseline,42,jpeg_compression,2,54.41
baseline,42,jpeg_compression,3,51.61
baseline,42,jpeg_compression,4,48.79
baseline,42,jpeg_compression,5,44.18
baseline,42,motion_blur,1,66.81
baseline,42,motion_blur,2,57.82
baseline,42,motion_blur,3,49.54
baseline,42,motion_blur,4,49.6
baseline,42,motion_blur,5,41.51
baseline,42,pixelate,1,72.21
baseline,42,pixelate,2,63.5
baseline,42,pixelate,3,57.62
baseline,42,pixelate,4,40.41
baseline,42,pixelate,5,24.01
baseline,42,shot_noise,1,55.61
baseline,42,shot_noise,2,42.58
baseline,42,shot_noise,3,22.35
baseline,42,shot_noise,4,16.72
baseline,42,shot_noise,5,11.59
baseline,42,snow,1,66.96
baseline,42,snow,2,48.53
baseline,42,snow,3,53.97
baseline,42,snow,4,51.75
baseline,42,snow,5,43.32
baseline,42,zoom_blur,1,64.26
baseline,42,zoom_blur,2,59.55
baseline,42,zoom_blur,3,52.43
baseline,42,zoom_blur,4,46.07
baseline,42,zoom_blur,5,38.12
