control,corruption,severity,mean,std,minimum,maximum,seeds,dataset
baseline,brightness,1,1.0399999999999967,0.029999999999994,1.0100000000000051,1.0699999999999932,3,CIFAR-10
baseline,brightness,2,1.0166666666666704,0.0808290376865455,0.9300000000000068,1.0900000000000034,3,CIFAR-10
baseline,brightness,3,0.8300000000000031,0.2364318083507364,0.6099999999999994,1.0799999999999983,3,CIFAR-10
baseline,brightness,4,0.819999999999998,0.2523885892824763,0.5300000000000011,0.9899999999999948,3,CIFAR-10
baseline,brightness,5,0.9633333333333384,0.1761628034896442,0.8200000000000074,1.1599999999999966,3,CIFAR-10
baseline,contrast,1,1.1366666666666607,0.1700980109623114,1.009999999999991,1.3299999999999983,3,CIFAR-10
baseline,contrast,2,1.9566666666666588,0.2773685875028649,1.6499999999999917,2.1899999999999977,3,CIFAR-10
baseline,contrast,3,2.826666666666668,0.3910669166949995,2.4200000000000017,3.200000000000003,3,CIFAR-10
baseline,contrast,4,5.726666666666664,0.5139390365922104,5.420000000000002,6.319999999999993,3,CIFAR-10
baseline,contrast,5,12.536666666666664,1.6245717384385732,10.72,13.849999999999994,3,CIFAR-10
baseline,defocus_blur,1,1.173333333333332,0.2311565126344765,1.0300000000000011,1.4399999999999975,3,CIFAR-10
baseline,defocus_blur,2,1.0700000000000074,0.3064310689208866,0.8500000000000085,1.4200000000000017,3,CIFAR-10
baseline,defocus_blur,3,-0.1266666666666604,0.2020725942163651,-0.309999999999988,0.0900000000000034,3,CIFAR-10
baseline,defocus_blur,4,-1.6233333333333348,0.8095883727755258,-2.3299999999999983,-0.7400000000000091,3,CIFAR-10
baseline,defocus_blur,5,-7.55,6.070024711646568,-11.869999999999996,-0.6099999999999994,3,CIFAR-10
baseline,elastic_transform,1,1.020000000000001,0.3567912554982188,0.6300000000000097,1.3299999999999983,3,CIFAR-10
baseline,elastic_transform,2,0.953333333333338,0.2478574859336203,0.6700000000000017,1.1300000000000097,3,CIFAR-10
baseline,elastic_transform,3,0.2700000000000055,0.4253234063627348,-0.2099999999999937,0.6000000000000085,3,CIFAR-10
baseline,elastic_transform,4,-0.4666666666666733,0.3493326972004368,-0.8700000000000045,-0.2600000000000051,3,CIFAR-10
baseline,elastic_transform,5,-0.8466666666666688,0.4500370355130003,-1.2999999999999972,-0.4000000000000057,3,CIFAR-10
baseline,fog,1,1.2633333333333308,0.1504437879519622,1.1199999999999903,1.4200000000000017,3,CIFAR-10
baseline,fog,2,1.2533333333333303,0.1350308606701848,1.1200000000000043,1.3899999999999864,3,CIFAR-10
baseline,fog,3,1.1933333333333376,0.1795364401265982,0.9900000000000092,1.3299999999999983,3,CIFAR-10
baseline,fog,4,1.0599999999999976,0.2426932219902287,0.7800000000000011,1.2099999999999935,3,CIFAR-10
baseline,fog,5,-0.6966666666666678,1.0042576030746957,-1.75,0.25,3,CIFAR-10
baseline,frost,1,0.3100000000000023,0.8143095234614395,-0.1799999999999926,1.25,3,CIFAR-10
baseline,frost,2,0.4700000000000036,1.204284019656489,-0.2599999999999909,1.8599999999999997,3,CIFAR-10
baseline,frost,3,1.1833333333333276,2.115096530500043,-0.3800000000000096,3.589999999999989,3,CIFAR-10
baseline,frost,4,1.1366666666666656,2.722762077988688,-0.4899999999999949,4.279999999999987,3,CIFAR-10
baseline,frost,5,2.703333333333336,3.327256126800778,0.6100000000000065,6.539999999999999,3,CIFAR-10
baseline,gaussian_noise,1,-4.293333333333332,3.110391186544435,-7.539999999999992,-1.3400000000000034,3,CIFAR-10
baseline,gaussian_noise,2,-3.9933333333333354,4.764874954637672,-9.090000000000003,0.3500000000000014,3,CIFAR-10
baseline,gaussian_noise,3,-2.236666666666666,2.485484526874658,-4.579999999999998,0.3700000000000045,3,CIFAR-10
baseline,gaussian_noise,4,-1.8766666666666665,0.9657294307068292,-2.8200000000000003,-0.889999999999997,3,CIFAR-10
baseline,gaussian_noise,5,-1.7433333333333323,0.6117461347105786,-2.2399999999999984,-1.0599999999999987,3,CIFAR-10
baseline,glass_blur,1,1.0800000000000007,4.950040403875507,-3.390000000000001,6.399999999999999,3,CIFAR-10
baseline,glass_blur,2,1.150000000000001,3.2466598220324823,-1.9699999999999989,4.509999999999998,3,CIFAR-10
baseline,glass_blur,3,1.2633333333333354,3.68524535592046,-2.5999999999999943,4.740000000000002,3,CIFAR-10
baseline,glass_blur,4,1.4266666666666648,4.74579111775195,-3.0799999999999983,6.379999999999996,3,CIFAR-10
baseline,glass_blur,5,2.1466666666666683,3.156363941837715,-1.1999999999999955,5.07,3,CIFAR-10
baseline,impulse_noise,1,4.403333333333332,0.2400694344004098,4.140000000000001,4.609999999999999,3,CIFAR-10
baseline,impulse_noise,2,3.62666666666667,0.8120550063470612,2.8500000000000085,4.469999999999999,3,CIFAR-10
baseline,impulse_noise,3,0.4133333333333316,0.8886131516769993,-0.6099999999999994,0.9899999999999948,3,CIFAR-10
baseline,impulse_noise,4,2.129999999999999,2.152695984109226,-0.1199999999999974,4.169999999999998,3,CIFAR-10
baseline,impulse_noise,5,5.586666666666667,2.035051186907428,4.120000000000001,7.91,3,CIFAR-10
baseline,jpeg_compression,1,-0.9433333333333328,0.6619919435562195,-1.3599999999999994,-0.1799999999999926,3,CIFAR-10
baseline,jpeg_compression,2,-1.9799999999999995,0.2971531591620712,-2.1899999999999977,-1.6400000000000006,3,CIFAR-10
baseline,jpeg_compression,3,-2.526666666666671,0.0723417813806984,-2.6099999999999994,-2.480000000000004,3,CIFAR-10
baseline,jpeg_compression,4,-3.313333333333337,0.4534681172181034,-3.5900000000000034,-2.7900000000000063,3,CIFAR-10
baseline,jpeg_compression,5,-4.393333333333331,1.1314739649383554,-5.489999999999995,-3.230000000000004,3,CIFAR-10
baseline,motion_blur,1,0.6066666666666644,0.1747378989610925,0.4599999999999937,0.8000000000000114,3,CIFAR-10
baseline,motion_blur,2,-0.4033333333333312,0.5371529887595575,-0.789999999999992,0.2099999999999937,3,CIFAR-10
baseline,motion_blur,3,-0.7766666666666614,0.9222978549976856,-1.8199999999999927,-0.0699999999999931,3,CIFAR-10
baseline,motion_blur,4,-0.8433333333333385,0.8280901722236131,-1.730000000000004,-0.0900000000000034,3,CIFAR-10
baseline,motion_blur,5,-0.8833333333333352,1.5238219493541043,-2.6200000000000045,0.2300000000000039,3,CIFAR-10
baseline,pixelate,1,1.1866666666666674,0.4673685198356174,0.6700000000000017,1.5800000000000125,3,CIFAR-10
baseline,pixelate,2,-0.1466666666666659,0.6439202849214604,-0.8900000000000006,0.2399999999999948,3,CIFAR-10
baseline,pixelate,3,-2.270000000000001,1.090137605992928,-3.3499999999999943,-1.1700000000000017,3,CIFAR-10
baseline,pixelate,4,-8.366666666666672,2.191468305345381,-9.920000000000009,-5.859999999999999,3,CIFAR-10
baseline,pixelate,5,-5.68,2.387613871630003,-8.170000000000002,-3.4099999999999966,3,CIFAR-10
baseline,shot_noise,1,-3.0333333333333363,1.9638058288266032,-4.38000000000001,-0.7800000000000011,3,CIFAR-10
baseline,shot_noise,2,-4.63333333333333,3.110905548764439,-7.700000000000003,-1.4799999999999898,3,CIFAR-10
baseline,shot_noise,3,-3.856666666666667,2.5795413028934715,-6.520000000000003,-1.3699999999999974,3,CIFAR-10
baseline,shot_noise,4,-3.3033333333333346,2.374454323277949,-5.950000000000003,-1.3599999999999994,3,CIFAR-10
baseline,shot_noise,5,-2.986666666666668,0.8994628026401852,-3.5600000000000023,-1.9499999999999995,3,CIFAR-10
baseline,snow,1,2.566666666666668,0.3807011076071827,2.200000000000003,2.960000000000008,3,CIFAR-10
baseline,snow,2,3.37,2.278881304500083,1.980000000000004,6.0,3,CIFAR-10
baseline,snow,3,3.1866666666666625,0.8396626306638437,2.6099999999999994,4.149999999999992,3,CIFAR-10
baseline,snow,4,3.259999999999996,1.4174272468102227,2.009999999999991,4.799999999999997,3,CIFAR-10
baseline,snow,5,2.9366666666666674,1.7614293438379365,1.6799999999999926,4.950000000000003,3,CIFAR-10
baseline,zoom_blur,1,1.12,0.272213151776318,0.9200000000000016,1.4299999999999926,3,CIFAR-10
