seed,corruption,accuracy_p05,accuracy_control,control,delta
42,brightness,93.7,92.694,baseline,1.0060000000000002
42,contrast,80.90799999999999,75.692,baseline,5.215999999999994
42,defocus_blur,80.11800000000001,82.34200000000001,baseline,-2.2240000000000038
42,elastic_transform,84.638,84.262,baseline,0.3760000000000048
42,fog,88.574,87.458,baseline,1.1159999999999997
42,frost,78.464,74.96000000000001,baseline,3.5039999999999907
42,gaussian_noise,47.482,48.376,baseline,-0.8939999999999984
42,glass_blur,58.42999999999999,53.010000000000005,baseline,5.4199999999999875
42,impulse_noise,58.565999999999995,55.146,baseline,3.4199999999999946
42,jpeg_compression,77.42999999999999,79.49600000000001,baseline,-2.0660000000000167
42,motion_blur,77.634,78.866,baseline,-1.2319999999999993
42,pixelate,72.116,75.888,baseline,-3.7720000000000056
42,shot_noise,58.17999999999999,60.116,baseline,-1.936000000000007
42,snow,85.184,80.612,baseline,4.572000000000003
42,zoom_blur,73.25800000000001,77.07000000000001,baseline,-3.8119999999999976
43,brightness,93.942,92.944,baseline,0.9979999999999905
43,contrast,80.82,76.408,baseline,4.411999999999992
43,defocus_blur,80.378,82.534,baseline,-2.156000000000006
43,elastic_transform,84.744,84.346,baseline,0.39799999999999613
43,fog,88.514,87.664,baseline,0.8499999999999943
43,frost,76.922,76.848,baseline,0.07399999999999807
43,gaussian_noise,41.308,46.562,baseline,-5.253999999999998
43,glass_blur,52.44,54.888,baseline,-2.4480000000000004
43,impulse_noise,58.432,55.738,baseline,2.6940000000000026
43,jpeg_compression,76.79400000000001,79.588,baseline,-2.7939999999999827
43,motion_blur,77.414,77.24600000000001,baseline,0.16799999999999216
43,pixelate,72.542,74.26599999999999,baseline,-1.7239999999999895
43,shot_noise,53.07000000000001,58.69200000000001,baseline,-5.622
43,snow,84.36800000000001,81.912,baseline,2.456000000000003
43,zoom_blur,74.10400000000001,78.272,baseline,-4.167999999999992
44,brightness,94.226,93.428,baseline,0.7980000000000018
44,contrast,82.01599999999999,77.134,baseline,4.881999999999991
44,defocus_blur,82.55199999999999,82.40599999999999,baseline,0.1460000000000008
44,elastic_transform,84.426,84.642,baseline,-0.21599999999999397
44,fog,89.378,88.9,baseline,0.47799999999999443
44,frost,78.054,78.15,baseline,-0.09600000000000364
44,gaussian_noise,40.198,42.536,baseline,-2.338000000000001
44,glass_blur,55.61,54.342,baseline,1.2680000000000007
44,impulse_noise,53.858000000000004,50.275999999999996,baseline,3.582000000000008
44,jpeg_compression,76.554,79.588,baseline,-3.033999999999992
44,motion_blur,78.07000000000001,78.386,baseline,-0.3159999999999883
44,pixelate,71.498,75.16799999999999,baseline,-3.6699999999999875
44,shot_noise,52.324,55.45399999999999,baseline,-3.1299999999999955
44,snow,84.734,82.57000000000001,baseline,2.1639999999999873
44,zoom_blur,76.022,77.462,baseline,-1.4399999999999977
42,brightness,93.7,94.002,cutmix_p1,-0.3019999999999925
42,contrast,80.90799999999999,80.546,cutmix_p1,0.36199999999998056
42,defocus_blur,80.11800000000001,80.89200000000001,cutmix_p1,-0.7740000000000009
42,elastic_transform,84.638,84.056,cutmix_p1,0.5820000000000078
42,fog,88.574,88.69,cutmix_p1,-0.11599999999999966
42,frost,78.464,77.6,cutmix_p1,0.8640000000000043
42,gaussian_noise,47.482,27.592000000000002,cutmix_p1,19.889999999999997
42,glass_blur,58.42999999999999,52.73,cutmix_p1,5.699999999999996
42,impulse_noise,58.565999999999995,52.81,cutmix_p1,5.755999999999993
42,jpeg_compression,77.42999999999999,73.72200000000001,cutmix_p1,3.707999999999984
42,motion_blur,77.634,77.572,cutmix_p1,0.06199999999999761
42,pixelate,72.116,70.068,cutmix_p1,2.048000000000002
42,shot_noise,58.17999999999999,40.044,cutmix_p1,18.135999999999996
42,snow,85.184,85.566,cutmix_p1,-0.382000000000005
42,zoom_blur,73.25800000000001,75.05600000000001,cutmix_p1,-1.7980000000000018
43,brightness,93.942,94.014,cutmix_p1,-0.07200000000000273
43,contrast,80.82,80.874,cutmix_p1,-0.054000000000002046
43,defocus_blur,80.378,81.592,cutmix_p1,-1.2139999999999986
43,elastic_transform,84.744,84.95,cutmix_p1,-0.20600000000000307
43,fog,88.514,89.036,cutmix_p1,-0.5220000000000056
43,frost,76.922,77.404,cutmix_p1,-0.4819999999999993
43,gaussian_noise,41.308,28.369999999999997,cutmix_p1,12.938000000000002
43,glass_blur,52.44,55.846000000000004,cutmix_p1,-3.406000000000006
43,impulse_noise,58.432,51.489999999999995,cutmix_p1,6.942000000000007
43,jpeg_compression,76.79400000000001,74.022,cutmix_p1,2.7720000000000056
43,motion_blur,77.414,78.97999999999999,cutmix_p1,-1.5659999999999883
43,pixelate,72.542,67.478,cutmix_p1,5.064000000000007
43,shot_noise,53.07000000000001,40.436,cutmix_p1,12.634000000000007
43,snow,84.36800000000001,85.686,cutmix_p1,-1.3179999999999978
43,zoom_blur,74.10400000000001,75.642,cutmix_p1,-1.5379999999999825
44,brightness,94.226,94.306,cutmix_p1,-0.0799999999999983
44,contrast,82.01599999999999,81.35,cutmix_p1,0.6659999999999968
44,defocus_blur,82.55199999999999,79.398,cutmix_p1,3.1539999999999964
44,elastic_transform,84.426,83.97200000000001,cutmix_p1,0.4539999999999935
44,fog,89.378,89.09,cutmix_p1,0.2879999999999967
44,frost,78.054,79.104,cutmix_p1,-1.0499999999999972
44,gaussian_noise,40.198,32.608,cutmix_p1,7.590000000000003
