method,seed,corruption,accuracy
baseline,42,brightness,92.694
baseline,42,contrast,75.692
baseline,42,defocus_blur,82.34200000000001
baseline,42,elastic_transform,84.262
baseline,42,fog,87.458
baseline,42,frost,74.96000000000001
baseline,42,gaussian_noise,48.376
baseline,42,glass_blur,53.010000000000005
baseline,42,impulse_noise,55.146
baseline,42,jpeg_compression,79.49600000000001
baseline,42,motion_blur,78.866
baseline,42,pixelate,75.888
baseline,42,shot_noise,60.116
baseline,42,snow,80.612
baseline,42,zoom_blur,77.07000000000001
baseline,43,brightness,92.944
baseline,43,contrast,76.408
baseline,43,defocus_blur,82.534
baseline,43,elastic_transform,84.346
baseline,43,fog,87.664
baseline,43,frost,76.848
baseline,43,gaussian_noise,46.562
baseline,43,glass_blur,54.888
baseline,43,impulse_noise,55.738
baseline,43,jpeg_compression,79.588
baseline,43,motion_blur,77.24600000000001
baseline,43,pixelate,74.26599999999999
baseline,43,shot_noise,58.69200000000001
baseline,43,snow,81.912
baseline,43,zoom_blur,78.272
baseline,44,brightness,93.428
baseline,44,contrast,77.134
baseline,44,defocus_blur,82.40599999999999
baseline,44,elastic_transform,84.642
baseline,44,fog,88.9
baseline,44,frost,78.15
baseline,44,gaussian_noise,42.536
baseline,44,glass_blur,54.342
baseline,44,impulse_noise,50.275999999999996
baseline,44,jpeg_compression,79.588
baseline,44,motion_blur,78.386
baseline,44,pixelate,75.16799999999999
baseline,44,shot_noise,55.45399999999999
baseline,44,snow,82.57000000000001
baseline,44,zoom_blur,77.462
cutmix_p05,42,brightness,93.7
cutmix_p05,42,contrast,80.90799999999999
cutmix_p05,42,defocus_blur,80.11800000000001
cutmix_p05,42,elastic_transform,84.638
cutmix_p05,42,fog,88.574
cutmix_p05,42,frost,78.464
cutmix_p05,42,gaussian_noise,47.482
cutmix_p05,42,glass_blur,58.42999999999999
cutmix_p05,42,impulse_noise,58.565999999999995
cutmix_p05,42,jpeg_compression,77.42999999999999
cutmix_p05,42,motion_blur,77.634
cutmix_p05,42,pixelate,72.116
cutmix_p05,42,shot_noise,58.17999999999999
cutmix_p05,42,snow,85.184
cutmix_p05,42,zoom_blur,73.25800000000001
cutmix_p05,43,brightness,93.942
cutmix_p05,43,contrast,80.82
cutmix_p05,43,defocus_blur,80.378
cutmix_p05,43,elastic_transform,84.744
cutmix_p05,43,fog,88.514
cutmix_p05,43,frost,76.922
cutmix_p05,43,gaussian_noise,41.308
cutmix_p05,43,glass_blur,52.44
cutmix_p05,43,impulse_noise,58.432
cutmix_p05,43,jpeg_compression,76.79400000000001
cutmix_p05,43,motion_blur,77.414
cutmix_p05,43,pixelate,72.542
cutmix_p05,43,shot_noise,53.07000000000001
cutmix_p05,43,snow,84.36800000000001
cutmix_p05,43,zoom_blur,74.10400000000001
cutmix_p05,44,brightness,94.226
cutmix_p05,44,contrast,82.01599999999999
cutmix_p05,44,defocus_blur,82.55199999999999
cutmix_p05,44,elastic_transform,84.426
cutmix_p05,44,fog,89.378
cutmix_p05,44,frost,78.054
cutmix_p05,44,gaussian_noise,40.198
cutmix_p05,44,glass_blur,55.61
cutmix_p05,44,impulse_noise,53.858000000000004
cutmix_p05,44,jpeg_compression,76.554
cutmix_p05,44,motion_blur,78.07000000000001
cutmix_p05,44,pixelate,71.498
cutmix_p05,44,shot_noise,52.324
cutmix_p05,44,snow,84.734
cutmix_p05,44,zoom_blur,76.022
cutmix_p1,42,brightness,94.002
cutmix_p1,42,contrast,80.546
cutmix_p1,42,defocus_blur,80.89200000000001
cutmix_p1,42,elastic_transform,84.056
cutmix_p1,42,fog,88.69
cutmix_p1,42,frost,77.6
cutmix_p1,42,gaussian_noise,27.592000000000002
cutmix_p1,42,glass_blur,52.73
cutmix_p1,42,impulse_noise,52.81
cutmix_p1,42,jpeg_compression,73.72200000000001
cutmix_p1,42,motion_blur,77.572
cutmix_p1,42,pixelate,70.068
cutmix_p1,42,shot_noise,40.044
cutmix_p1,42,snow,85.566
cutmix_p1,42,zoom_blur,75.05600000000001
cutmix_p1,43,brightness,94.014
cutmix_p1,43,contrast,80.874
cutmix_p1,43,defocus_blur,81.592
cutmix_p1,43,elastic_transform,84.95
cutmix_p1,43,fog,89.036
cutmix_p1,43,frost,77.404
cutmix_p1,43,gaussian_noise,28.369999999999997
cutmix_p1,43,glass_blur,55.846000000000004
cutmix_p1,43,impulse_noise,51.489999999999995
cutmix_p1,43,jpeg_compression,74.022
cutmix_p1,43,motion_blur,78.97999999999999
cutmix_p1,43,pixelate,67.478
cutmix_p1,43,shot_noise,40.436
cutmix_p1,43,snow,85.686
cutmix_p1,43,zoom_blur,75.642
cutmix_p1,44,brightness,94.306
cutmix_p1,44,contrast,81.35
cutmix_p1,44,defocus_blur,79.398
cutmix_p1,44,elastic_transform,83.97200000000001
cutmix_p1,44,fog,89.09
cutmix_p1,44,frost,79.104
cutmix_p1,44,gaussian_noise,32.608
cutmix_p1,44,glass_blur,58.75
cutmix_p1,44,impulse_noise,51.564
cutmix_p1,44,jpeg_compression,72.83200000000001
cutmix_p1,44,motion_blur,78.002
cutmix_p1,44,pixelate,71.026
cutmix_p1,44,shot_noise,44.222
cutmix_p1,44,snow,85.942
cutmix_p1,44,zoom_blur,72.42999999999999
