method,corruption,severity,mean,std,seeds
baseline,brightness,1,94.41000000000001,0.38314488121335866,3
baseline,brightness,2,94.06666666666666,0.3121431295629191,3
baseline,brightness,3,93.59666666666665,0.3572580766523486,3
baseline,brightness,4,92.79,0.442379927211891,3
baseline,brightness,5,90.24666666666667,0.4215843134336672,3
baseline,contrast,1,93.97666666666667,0.3507610772781567,3
baseline,contrast,2,90.63,0.4821825380496478,3
baseline,contrast,3,86.74000000000001,0.858428797280242,3
baseline,contrast,4,77.18333333333334,1.2577890655166812,3
baseline,contrast,5,33.52666666666667,1.0171201174558149,3
baseline,defocus_blur,1,94.27333333333333,0.3910669166950072,3
baseline,defocus_blur,2,93.04333333333334,0.4361574639202273,3
baseline,defocus_blur,3,88.85000000000001,0.3306055050963355,3
baseline,defocus_blur,4,79.98,0.23643180835073732,3
baseline,defocus_blur,5,55.99,1.2803515142334965,3
baseline,elastic_transform,1,90.26666666666667,0.360046293319804,3
baseline,elastic_transform,2,89.88,0.41797129088012613,3
baseline,elastic_transform,3,86.21666666666665,0.4309679029038466,3
baseline,elastic_transform,4,80.01,0.06999999999999977,3
baseline,elastic_transform,5,75.71,0.31192947920964703,3
baseline,fog,1,94.17,0.34394767043840047,3
baseline,fog,2,93.16333333333334,0.3700450423034092,3
baseline,fog,3,91.41666666666667,0.4233595792388865,3
baseline,fog,4,88.66000000000001,0.7578258375114933,3
baseline,fog,5,72.62666666666667,2.0316085580970893,3
baseline,frost,1,89.97333333333331,0.7543429812315737,3
baseline,frost,2,84.36333333333333,1.0981954895797572,3
baseline,frost,3,74.64666666666666,1.6957102739953422,3
baseline,frost,4,72.74333333333334,2.0829146245905865,3
baseline,frost,5,61.53666666666666,2.44532888040307,3
baseline,gaussian_noise,1,77.83,0.8190238091777267,3
baseline,gaussian_noise,2,56.88333333333333,3.0860384529900675,3
baseline,gaussian_noise,3,37.766666666666666,3.734519156910741,3
baseline,gaussian_noise,4,30.790000000000003,4.298150765154708,3
