control,corruption,severity,mean,std,minimum,maximum,seeds
baseline,brightness,1,1.0399999999999967,0.029999999999994004,1.0100000000000051,1.0699999999999932,3
baseline,brightness,2,1.0166666666666704,0.08082903768654556,0.9300000000000068,1.0900000000000034,3
baseline,brightness,3,0.8300000000000031,0.23643180835073643,0.6099999999999994,1.0799999999999983,3
baseline,brightness,4,0.819999999999998,0.25238858928247637,0.5300000000000011,0.9899999999999949,3
baseline,brightness,5,0.9633333333333383,0.17616280348964428,0.8200000000000074,1.1599999999999966,3
baseline,contrast,1,1.1366666666666607,0.1700980109623114,1.009999999999991,1.3299999999999983,3
baseline,contrast,2,1.9566666666666588,0.27736858750286497,1.6499999999999915,2.1899999999999977,3
baseline,contrast,3,2.826666666666668,0.39106691669499954,2.4200000000000017,3.200000000000003,3
baseline,contrast,4,5.726666666666664,0.5139390365922104,5.420000000000002,6.319999999999993,3
baseline,contrast,5,12.536666666666664,1.6245717384385732,10.719999999999999,13.849999999999994,3
baseline,defocus_blur,1,1.173333333333332,0.23115651263447654,1.0300000000000011,1.4399999999999977,3
baseline,defocus_blur,2,1.0700000000000074,0.3064310689208866,0.8500000000000085,1.4200000000000017,3
baseline,defocus_blur,3,-0.1266666666666604,0.20207259421636514,-0.30999999999998806,0.09000000000000341,3
baseline,defocus_blur,4,-1.6233333333333348,0.8095883727755258,-2.3299999999999983,-0.7400000000000091,3
baseline,defocus_blur,5,-7.55,6.0700247116465675,-11.869999999999997,-0.6099999999999994,3
baseline,elastic_transform,1,1.0200000000000007,0.3567912554982188,0.6300000000000097,1.3299999999999983,3
baseline,elastic_transform,2,0.9533333333333379,0.24785748593362036,0.6700000000000017,1.1300000000000097,3
baseline,elastic_transform,3,0.2700000000000055,0.4253234063627348,-0.20999999999999375,0.6000000000000085,3
baseline,elastic_transform,4,-0.4666666666666733,0.34933269720043686,-0.8700000000000045,-0.2600000000000051,3
baseline,elastic_transform,5,-0.8466666666666688,0.4500370355130003,-1.2999999999999972,-0.4000000000000057,3
baseline,fog,1,1.2633333333333308,0.15044378795196228,1.1199999999999903,1.4200000000000017,3
baseline,fog,2,1.2533333333333303,0.13503086067018483,1.1200000000000045,1.3899999999999864,3
