seed,corruption,severity,accuracy_p05,accuracy_control,control,delta
42,brightness,1,95.19,94.15,baseline,1.039999999999992
42,brightness,2,94.89,93.8,baseline,1.0900000000000034
42,brightness,3,94.12,93.32,baseline,0.8000000000000114
42,brightness,4,93.36,92.42,baseline,0.9399999999999977
42,brightness,5,90.94,89.78,baseline,1.1599999999999966
42,contrast,1,94.97,93.64,baseline,1.3299999999999983
42,contrast,2,92.47,90.28,baseline,2.1899999999999977
42,contrast,3,89.22,86.02,baseline,3.200000000000003
42,contrast,4,82.46,76.14,baseline,6.319999999999993
42,contrast,5,45.42,32.38,baseline,13.04
42,defocus_blur,1,95.34,93.9,baseline,1.4399999999999977
42,defocus_blur,2,94.01,92.59,baseline,1.4200000000000017
42,defocus_blur,3,88.18,88.49,baseline,-0.30999999999998806
42,defocus_blur,4,77.93,79.73,baseline,-1.7999999999999972
42,defocus_blur,5,45.13,57.0,baseline,-11.869999999999997
42,elastic_transform,1,91.24,89.91,baseline,1.3299999999999983
42,elastic_transform,2,90.61,89.55,baseline,1.0600000000000023
42,elastic_transform,3,86.37,85.77,baseline,0.6000000000000085
42,elastic_transform,4,79.77,80.04,baseline,-0.27000000000001023
42,elastic_transform,5,75.2,76.04,baseline,-0.8400000000000034
42,fog,1,95.28,93.86,baseline,1.4200000000000017
42,fog,2,94.32,92.93,baseline,1.3899999999999864
42,fog,3,92.38,91.05,baseline,1.3299999999999983
42,fog,4,89.28,88.09,baseline,1.1899999999999977
42,fog,5,71.61,71.36,baseline,0.25
42,frost,1,90.52,89.27,baseline,1.25
42,frost,2,85.08,83.22,baseline,1.8599999999999994
42,frost,3,76.57,72.98,baseline,3.589999999999989
42,frost,4,74.71,70.43,baseline,4.279999999999987
42,frost,5,65.44,58.9,baseline,6.539999999999999
42,gaussian_noise,1,76.35,77.69,baseline,-1.3400000000000034
42,gaussian_noise,2,59.04,58.69,baseline,0.3500000000000014
42,gaussian_noise,3,41.6,41.23,baseline,0.37000000000000455
42,gaussian_noise,4,33.07,34.99,baseline,-1.9200000000000017
42,gaussian_noise,5,27.35,29.28,baseline,-1.9299999999999997
42,glass_blur,1,60.62,54.22,baseline,6.399999999999999
42,glass_blur,2,61.47,56.96,baseline,4.509999999999998
42,glass_blur,3,64.09,59.35,baseline,4.740000000000002
42,glass_blur,4,51.98,45.6,baseline,6.3799999999999955
42,glass_blur,5,53.99,48.92,baseline,5.07
42,impulse_noise,1,86.6,81.99,baseline,4.609999999999999
42,impulse_noise,2,72.23,69.38,baseline,2.8500000000000085
42,impulse_noise,3,59.06,59.67,baseline,-0.6099999999999994
42,impulse_noise,4,42.37,40.03,baseline,2.3399999999999963
42,impulse_noise,5,32.57,24.66,baseline,7.91
42,jpeg_compression,1,86.26,86.44,baseline,-0.1799999999999926
42,jpeg_compression,2,79.8,81.44,baseline,-1.6400000000000006
42,jpeg_compression,3,77.41,79.9,baseline,-2.490000000000009
42,jpeg_compression,4,74.22,77.01,baseline,-2.7900000000000063
42,jpeg_compression,5,69.46,72.69,baseline,-3.230000000000004
42,motion_blur,1,90.9,90.1,baseline,0.8000000000000114
42,motion_blur,2,82.9,83.69,baseline,-0.789999999999992
42,motion_blur,3,74.28,76.1,baseline,-1.8199999999999932
42,motion_blur,4,74.49,76.22,baseline,-1.730000000000004
42,motion_blur,5,65.6,68.22,baseline,-2.6200000000000045
42,pixelate,1,93.24,91.93,baseline,1.309999999999988
42,pixelate,2,86.98,86.77,baseline,0.21000000000000796
42,pixelate,3,80.13,82.42,baseline,-2.2900000000000063
42,pixelate,4,56.87,66.79,baseline,-9.920000000000009
42,pixelate,5,43.36,51.53,baseline,-8.170000000000002
42,shot_noise,1,83.99,84.77,baseline,-0.7800000000000011
42,shot_noise,2,74.4,75.88,baseline,-1.4799999999999898
42,shot_noise,3,54.18,55.55,baseline,-1.3699999999999974
42,shot_noise,4,45.33,47.93,baseline,-2.6000000000000014
42,shot_noise,5,33.0,36.45,baseline,-3.450000000000003
42,snow,1,91.95,88.99,baseline,2.960000000000008
42,snow,2,84.41,78.41,baseline,6.0
42,snow,3,86.71,82.56,baseline,4.1499999999999915
42,snow,4,83.96,79.16,baseline,4.799999999999997
42,snow,5,78.89,73.94,baseline,4.950000000000003
42,zoom_blur,1,88.68,87.76,baseline,0.9200000000000017
42,zoom_blur,2,83.5,84.71,baseline,-1.2099999999999937
42,zoom_blur,3,75.2,78.94,baseline,-3.739999999999995
42,zoom_blur,4,66.24,72.34,baseline,-6.1000000000000085
42,zoom_blur,5,52.67,61.6,baseline,-8.93
43,brightness,1,95.3,94.23,baseline,1.0699999999999932
43,brightness,2,95.02,93.99,baseline,1.0300000000000011
43,brightness,3,94.55,93.47,baseline,1.0799999999999983
43,brightness,4,93.66,92.67,baseline,0.9899999999999949
43,brightness,5,91.18,90.36,baseline,0.8200000000000074
43,contrast,1,94.96,93.95,baseline,1.009999999999991
43,contrast,2,92.46,90.43,baseline,2.029999999999987
43,contrast,3,89.37,86.51,baseline,2.8599999999999994
43,contrast,4,82.27,76.83,baseline,5.439999999999998
43,contrast,5,45.04,34.32,baseline,10.719999999999999
43,defocus_blur,1,95.27,94.24,baseline,1.0300000000000011
43,defocus_blur,2,93.93,93.08,baseline,0.8500000000000085
43,defocus_blur,3,88.76,88.92,baseline,-0.1599999999999966
43,defocus_blur,4,77.68,80.01,baseline,-2.3299999999999983
43,defocus_blur,5,46.25,56.42,baseline,-10.170000000000002
43,elastic_transform,1,91.36,90.26,baseline,1.0999999999999943
43,elastic_transform,2,90.87,89.74,baseline,1.1300000000000097
43,elastic_transform,3,86.67,86.25,baseline,0.4200000000000017
43,elastic_transform,4,79.8,80.06,baseline,-0.2600000000000051
43,elastic_transform,5,75.02,75.42,baseline,-0.4000000000000057
43,fog,1,95.36,94.11,baseline,1.25
43,fog,2,94.09,92.97,baseline,1.1200000000000045
43,fog,3,92.58,91.32,baseline,1.2600000000000051
43,fog,4,89.58,88.37,baseline,1.2099999999999937
43,fog,5,70.96,71.55,baseline,-0.5900000000000034
43,frost,1,89.7,89.88,baseline,-0.1799999999999926
43,frost,2,84.2,84.46,baseline,-0.2599999999999909
43,frost,3,74.93,74.59,baseline,0.3400000000000034
43,frost,4,72.84,73.33,baseline,-0.4899999999999949
43,frost,5,62.94,61.98,baseline,0.9600000000000009
43,gaussian_noise,1,71.17,78.71,baseline,-7.539999999999992
43,gaussian_noise,2,49.55,58.64,baseline,-9.090000000000003
43,gaussian_noise,3,33.68,38.26,baseline,-4.579999999999998
43,gaussian_noise,4,28.16,30.98,baseline,-2.8200000000000003
