method,seed,corruption,severity,accuracy
baseline,42,brightness,1,94.15
baseline,42,brightness,2,93.8
baseline,42,brightness,3,93.32
baseline,42,brightness,4,92.42
baseline,42,brightness,5,89.78
baseline,42,contrast,1,93.64
baseline,42,contrast,2,90.28
baseline,42,contrast,3,86.02
baseline,42,contrast,4,76.14
baseline,42,contrast,5,32.38
baseline,42,defocus_blur,1,93.9
baseline,42,defocus_blur,2,92.59
baseline,42,defocus_blur,3,88.49
baseline,42,defocus_blur,4,79.73
baseline,42,defocus_blur,5,57.0
baseline,42,elastic_transform,1,89.91
baseline,42,elastic_transform,2,89.55
baseline,42,elastic_transform,3,85.77
baseline,42,elastic_transform,4,80.04
baseline,42,elastic_transform,5,76.04
baseline,42,fog,1,93.86
baseline,42,fog,2,92.93
baseline,42,fog,3,91.05
baseline,42,fog,4,88.09
baseline,42,fog,5,71.36
baseline,42,frost,1,89.27
baseline,42,frost,2,83.22
baseline,42,frost,3,72.98
baseline,42,frost,4,70.43
baseline,42,frost,5,58.9
baseline,42,gaussian_noise,1,77.69
baseline,42,gaussian_noise,2,58.69
baseline,42,gaussian_noise,3,41.23
baseline,42,gaussian_noise,4,34.99
baseline,42,gaussian_noise,5,29.28
baseline,42,glass_blur,1,54.22
baseline,42,glass_blur,2,56.96
baseline,42,glass_blur,3,59.35
baseline,42,glass_blur,4,45.6
baseline,42,glass_blur,5,48.92
baseline,42,impulse_noise,1,81.99
baseline,42,impulse_noise,2,69.38
baseline,42,impulse_noise,3,59.67
baseline,42,impulse_noise,4,40.03
baseline,42,impulse_noise,5,24.66
baseline,42,jpeg_compression,1,86.44
baseline,42,jpeg_compression,2,81.44
baseline,42,jpeg_compression,3,79.9
baseline,42,jpeg_compression,4,77.01
baseline,42,jpeg_compression,5,72.69
baseline,42,motion_blur,1,90.1
baseline,42,motion_blur,2,83.69
baseline,42,motion_blur,3,76.1
baseline,42,motion_blur,4,76.22
baseline,42,motion_blur,5,68.22
baseline,42,pixelate,1,91.93
baseline,42,pixelate,2,86.77
baseline,42,pixelate,3,82.42
baseline,42,pixelate,4,66.79
baseline,42,pixelate,5,51.53
baseline,42,shot_noise,1,84.77
baseline,42,shot_noise,2,75.88
baseline,42,shot_noise,3,55.55
baseline,42,shot_noise,4,47.93
baseline,42,shot_noise,5,36.45
baseline,42,snow,1,88.99
baseline,42,snow,2,78.41
baseline,42,snow,3,82.56
baseline,42,snow,4,79.16
baseline,42,snow,5,73.94
baseline,42,zoom_blur,1,87.76
baseline,42,zoom_blur,2,84.71
baseline,42,zoom_blur,3,78.94
baseline,42,zoom_blur,4,72.34
baseline,42,zoom_blur,5,61.6
baseline,43,brightness,1,94.23
baseline,43,brightness,2,93.99
baseline,43,brightness,3,93.47
baseline,43,brightness,4,92.67
baseline,43,brightness,5,90.36
baseline,43,contrast,1,93.95
baseline,43,contrast,2,90.43
baseline,43,contrast,3,86.51
baseline,43,contrast,4,76.83
baseline,43,contrast,5,34.32
baseline,43,defocus_blur,1,94.24
baseline,43,defocus_blur,2,93.08
baseline,43,defocus_blur,3,88.92
baseline,43,defocus_blur,4,80.01
baseline,43,defocus_blur,5,56.42
baseline,43,elastic_transform,1,90.26
baseline,43,elastic_transform,2,89.74
baseline,43,elastic_transform,3,86.25
baseline,43,elastic_transform,4,80.06
baseline,43,elastic_transform,5,75.42
baseline,43,fog,1,94.11
baseline,43,fog,2,92.97
baseline,43,fog,3,91.32
baseline,43,fog,4,88.37
baseline,43,fog,5,71.55
baseline,43,frost,1,89.88
baseline,43,frost,2,84.46
baseline,43,frost,3,74.59
baseline,43,frost,4,73.33
baseline,43,frost,5,61.98
baseline,43,gaussian_noise,1,78.71
baseline,43,gaussian_noise,2,58.64
baseline,43,gaussian_noise,3,38.26
baseline,43,gaussian_noise,4,30.98
baseline,43,gaussian_noise,5,26.22
baseline,43,glass_blur,1,57.12
baseline,43,glass_blur,2,58.36
baseline,43,glass_blur,3,61.87
baseline,43,glass_blur,4,47.47
baseline,43,glass_blur,5,49.62
baseline,43,impulse_noise,1,84.2
baseline,43,impulse_noise,2,71.18
baseline,43,impulse_noise,3,60.5
baseline,43,impulse_noise,4,40.15
baseline,43,impulse_noise,5,22.66
baseline,43,jpeg_compression,1,86.63
baseline,43,jpeg_compression,2,81.62
baseline,43,jpeg_compression,3,79.67
baseline,43,jpeg_compression,4,76.83
baseline,43,jpeg_compression,5,73.19
baseline,43,motion_blur,1,90.15
baseline,43,motion_blur,2,82.84
baseline,43,motion_blur,3,73.94
baseline,43,motion_blur,4,74.31
baseline,43,motion_blur,5,64.99
baseline,43,pixelate,1,91.82
baseline,43,pixelate,2,86.86
baseline,43,pixelate,3,82.06
baseline,43,pixelate,4,63.72
baseline,43,pixelate,5,46.87
baseline,43,shot_noise,1,85.9
baseline,43,shot_noise,2,76.76
baseline,43,shot_noise,3,53.68
baseline,43,shot_noise,4,44.85
baseline,43,shot_noise,5,32.27
baseline,43,snow,1,89.43
baseline,43,snow,2,80.53
baseline,43,snow,3,83.56
baseline,43,snow,4,80.68
baseline,43,snow,5,75.36
baseline,43,zoom_blur,1,88.0
baseline,43,zoom_blur,2,85.57
baseline,43,zoom_blur,3,79.88
baseline,43,zoom_blur,4,74.07
baseline,43,zoom_blur,5,63.84
baseline,44,brightness,1,94.85
baseline,44,brightness,2,94.41
baseline,44,brightness,3,94.0
baseline,44,brightness,4,93.28
baseline,44,brightness,5,90.6
baseline,44,contrast,1,94.34
baseline,44,contrast,2,91.18
baseline,44,contrast,3,87.69
baseline,44,contrast,4,78.58
baseline,44,contrast,5,33.88
baseline,44,defocus_blur,1,94.68
baseline,44,defocus_blur,2,93.46
baseline,44,defocus_blur,3,89.14
baseline,44,defocus_blur,4,80.2
baseline,44,defocus_blur,5,54.55
baseline,44,elastic_transform,1,90.63
baseline,44,elastic_transform,2,90.35
baseline,44,elastic_transform,3,86.63
baseline,44,elastic_transform,4,79.93
baseline,44,elastic_transform,5,75.67
baseline,44,fog,1,94.54
baseline,44,fog,2,93.59
baseline,44,fog,3,91.88
baseline,44,fog,4,89.52
baseline,44,fog,5,74.97
baseline,44,frost,1,90.77
baseline,44,frost,2,85.41
baseline,44,frost,3,76.37
baseline,44,frost,4,74.47
baseline,44,frost,5,63.73
baseline,44,gaussian_noise,1,77.09
baseline,44,gaussian_noise,2,53.32
baseline,44,gaussian_noise,3,33.81
baseline,44,gaussian_noise,4,26.4
baseline,44,gaussian_noise,5,22.06
baseline,44,glass_blur,1,56.83
baseline,44,glass_blur,2,58.18
baseline,44,glass_blur,3,61.25
baseline,44,glass_blur,4,46.42
baseline,44,glass_blur,5,49.03
baseline,44,impulse_noise,1,81.65
baseline,44,impulse_noise,2,67.19
baseline,44,impulse_noise,3,54.95
baseline,44,impulse_noise,4,30.66
baseline,44,impulse_noise,5,16.93
baseline,44,jpeg_compression,1,87.06
baseline,44,jpeg_compression,2,81.66
baseline,44,jpeg_compression,3,79.54
baseline,44,jpeg_compression,4,76.72
baseline,44,jpeg_compression,5,72.96
baseline,44,motion_blur,1,90.93
baseline,44,motion_blur,2,84.28
baseline,44,motion_blur,3,75.07
baseline,44,motion_blur,4,75.17
baseline,44,motion_blur,5,66.48
baseline,44,pixelate,1,92.81
baseline,44,pixelate,2,88.1
baseline,44,pixelate,3,83.41
baseline,44,pixelate,4,65.48
baseline,44,pixelate,5,46.04
baseline,44,shot_noise,1,85.99
baseline,44,shot_noise,2,75.08
baseline,44,shot_noise,3,48.87
baseline,44,shot_noise,4,39.15
baseline,44,shot_noise,5,28.18
baseline,44,snow,1,89.59
baseline,44,snow,2,81.31
baseline,44,snow,3,83.41
baseline,44,snow,4,81.7
baseline,44,snow,5,76.84
baseline,44,zoom_blur,1,87.79
baseline,44,zoom_blur,2,84.7
baseline,44,zoom_blur,3,78.89
baseline,44,zoom_blur,4,73.05
baseline,44,zoom_blur,5,62.88
cutmix_p05,42,brightness,1,95.19
cutmix_p05,42,brightness,2,94.89
cutmix_p05,42,brightness,3,94.12
cutmix_p05,42,brightness,4,93.36
cutmix_p05,42,brightness,5,90.94
cutmix_p05,42,contrast,1,94.97
cutmix_p05,42,contrast,2,92.47
cutmix_p05,42,contrast,3,89.22
cutmix_p05,42,contrast,4,82.46
cutmix_p05,42,contrast,5,45.42
cutmix_p05,42,defocus_blur,1,95.34
cutmix_p05,42,defocus_blur,2,94.01
cutmix_p05,42,defocus_blur,3,88.18
cutmix_p05,42,defocus_blur,4,77.93
cutmix_p05,42,defocus_blur,5,45.13
cutmix_p05,42,elastic_transform,1,91.24
cutmix_p05,42,elastic_transform,2,90.61
cutmix_p05,42,elastic_transform,3,86.37
cutmix_p05,42,elastic_transform,4,79.77
cutmix_p05,42,elastic_transform,5,75.2
cutmix_p05,42,fog,1,95.28
