method,seed,category,accuracy,baseline,delta
augmix,42,blur,86.162,72.822,13.340000000000003
augmix,42,digital,85.9195,78.8345,7.084999999999994
augmix,42,noise,80.48466666666667,54.546,25.93866666666667
augmix,42,weather,89.64349999999999,83.931,5.7124999999999915
augmix,43,blur,85.2705,73.235,12.035499999999999
augmix,43,digital,85.851,78.652,7.198999999999998
augmix,43,noise,78.09666666666666,53.664,24.432666666666663
augmix,43,weather,89.0595,84.842,4.217500000000001
augmix,44,blur,85.3555,73.149,12.206500000000005
augmix,44,digital,85.84299999999999,79.13300000000001,6.7099999999999795
augmix,44,noise,79.61666666666666,49.422000000000004,30.194666666666656
augmix,44,weather,89.5405,85.762,3.778499999999994
baseline,42,blur,72.822,72.822,0.0
baseline,42,digital,78.8345,78.8345,0.0
baseline,42,noise,54.546,54.546,0.0
baseline,42,weather,83.931,83.931,0.0
baseline,43,blur,73.235,73.235,0.0
baseline,43,digital,78.652,78.652,0.0
baseline,43,noise,53.664,53.664,0.0
baseline,43,weather,84.842,84.842,0.0
baseline,44,blur,73.149,73.149,0.0
baseline,44,digital,79.13300000000001,79.13300000000001,0.0
baseline,44,noise,49.422000000000004,49.422000000000004,0.0
baseline,44,weather,85.762,85.762,0.0
cutmix,42,blur,71.5625,72.822,-1.2595000000000027
cutmix,42,digital,77.098,78.8345,-1.7365000000000066
cutmix,42,noise,40.14866666666667,54.546,-14.397333333333329
cutmix,42,weather,86.4645,83.931,2.5335000000000036
cutmix,43,blur,73.015,73.235,-0.21999999999999886
cutmix,43,digital,76.831,78.652,-1.820999999999998
cutmix,43,noise,40.09866666666667,53.664,-13.565333333333335
cutmix,43,weather,86.535,84.842,1.6929999999999978
cutmix,44,blur,72.14500000000001,73.149,-1.0039999999999907
cutmix,44,digital,77.295,79.13300000000001,-1.838000000000008
cutmix,44,noise,42.798,49.422000000000004,-6.624000000000002
cutmix,44,weather,87.1105,85.762,1.3485000000000014
mixup,42,blur,79.442,72.822,6.61999999999999
mixup,42,digital,83.631,78.8345,4.796499999999995
mixup,42,noise,58.00466666666667,54.546,3.458666666666673
mixup,42,weather,90.04299999999999,83.931,6.111999999999995
mixup,43,blur,80.2695,73.235,7.034499999999994
mixup,43,digital,83.19550000000001,78.652,4.543500000000009
mixup,43,noise,52.134,53.664,-1.5300000000000011
mixup,43,weather,89.513,84.842,4.6710000000000065
mixup,44,blur,79.018,73.149,5.869
mixup,44,digital,83.5605,79.13300000000001,4.427499999999995
mixup,44,noise,57.634,49.422000000000004,8.211999999999996
mixup,44,weather,89.01700000000001,85.762,3.2550000000000097
randaugment,42,blur,80.5115,72.822,7.689499999999995
randaugment,42,digital,83.2255,78.8345,4.390999999999991
randaugment,42,noise,69.09466666666667,54.546,14.54866666666667
randaugment,42,weather,88.9635,83.931,5.032499999999999
randaugment,43,blur,81.0265,73.235,7.791499999999999
randaugment,43,digital,82.262,78.652,3.6099999999999994
randaugment,43,noise,69.11466666666666,53.664,15.450666666666663
randaugment,43,weather,88.914,84.842,4.072000000000003
randaugment,44,blur,80.34700000000001,73.149,7.1980000000000075
randaugment,44,digital,83.563,79.13300000000001,4.429999999999993
randaugment,44,noise,70.51333333333334,49.422000000000004,21.09133333333333
randaugment,44,weather,89.648,85.762,3.8859999999999957
