method,seed,category,severity,accuracy,baseline,delta
augmix,42,blur,1,89.015,81.495,7.519999999999996
augmix,42,blur,2,88.5275,79.4875,9.040000000000006
augmix,42,blur,3,87.9675,75.72,12.247500000000002
augmix,42,blur,4,83.57000000000001,68.4725,15.09750000000001
augmix,42,blur,5,81.73,58.935,22.795
augmix,42,digital,1,92.7125,90.48,2.2325000000000017
augmix,42,digital,2,90.85,87.00999999999999,3.8400000000000034
augmix,42,digital,3,89.2625,83.5275,5.734999999999999
augmix,42,digital,4,84.6075,74.995,9.612499999999997
augmix,42,digital,5,72.16499999999999,58.16,14.004999999999995
augmix,42,noise,1,91.65333333333335,81.48333333333333,10.170000000000016
augmix,42,noise,2,87.94,67.98333333333333,19.956666666666663
augmix,42,noise,3,81.44666666666667,52.15,29.296666666666674
augmix,42,noise,4,75.06333333333333,40.983333333333334,34.08
augmix,42,noise,5,66.32000000000001,30.13,36.19000000000001
augmix,42,weather,1,93.7425,91.5675,2.1750000000000114
augmix,42,weather,2,91.6825,87.09,4.592500000000001
augmix,42,weather,3,89.9625,84.97749999999999,4.985000000000014
augmix,42,weather,4,88.6425,82.525,6.117499999999993
augmix,42,weather,5,84.1875,73.495,10.692499999999995
augmix,43,blur,1,88.1275,82.3775,5.75
augmix,43,blur,2,87.705,79.9625,7.742499999999993
augmix,43,blur,3,87.1125,76.1525,10.959999999999994
augmix,43,blur,4,82.8825,68.965,13.91749999999999
augmix,43,blur,5,80.525,58.7175,21.807500000000005
augmix,43,digital,1,92.3475,90.66499999999999,1.6825000000000045
augmix,43,digital,2,90.8675,87.1625,3.7050000000000125
augmix,43,digital,3,89.42,83.6225,5.797499999999999
augmix,43,digital,4,84.825,74.36,10.465000000000003
augmix,43,digital,5,71.795,57.449999999999996,14.345000000000006
augmix,43,noise,1,91.19333333333333,82.93666666666667,8.25666666666666
augmix,43,noise,2,86.51666666666667,68.86,17.656666666666666
augmix,43,noise,3,78.96333333333332,50.81333333333333,28.14999999999999
augmix,43,noise,4,71.81,38.660000000000004,33.15
augmix,43,noise,5,62.0,27.05,34.95
augmix,43,weather,1,93.495,91.9125,1.5825000000000102
augmix,43,weather,2,91.06,87.9875,3.072500000000005
augmix,43,weather,3,89.58,85.735,3.844999999999999
augmix,43,weather,4,88.07,83.7625,4.30749999999999
augmix,43,weather,5,83.0925,74.8125,8.280000000000001
augmix,44,blur,1,88.16,82.5575,5.602499999999992
augmix,44,blur,2,88.00999999999999,80.155,7.85499999999999
augmix,44,blur,3,87.33500000000001,76.0875,11.247500000000002
augmix,44,blur,4,82.625,68.71000000000001,13.914999999999992
augmix,44,blur,5,80.64750000000001,58.235,22.41250000000001
augmix,44,digital,1,92.6,91.21000000000001,1.3899999999999864
augmix,44,digital,2,91.0325,87.82249999999999,3.210000000000008
augmix,44,digital,3,89.55250000000001,84.3175,5.235000000000014
augmix,44,digital,4,84.2475,75.17750000000001,9.069999999999993
augmix,44,digital,5,71.7825,57.137499999999996,14.645000000000003
augmix,44,noise,1,91.55666666666667,81.57666666666667,9.980000000000004
augmix,44,noise,2,87.33666666666666,65.19666666666666,22.14
augmix,44,noise,3,80.31333333333333,45.876666666666665,34.43666666666667
augmix,44,noise,4,73.89,32.07,41.82
augmix,44,noise,5,64.98666666666666,22.39,42.596666666666664
augmix,44,weather,1,93.7675,92.4375,1.3299999999999983
augmix,44,weather,2,91.46000000000001,88.68,2.780000000000001
augmix,44,weather,3,90.0325,86.41499999999999,3.617500000000007
augmix,44,weather,4,88.6075,84.7425,3.864999999999995
augmix,44,weather,5,83.83500000000001,76.535,7.300000000000011
baseline,42,blur,1,81.495,81.495,0.0
baseline,42,blur,2,79.4875,79.4875,0.0
baseline,42,blur,3,75.72,75.72,0.0
baseline,42,blur,4,68.4725,68.4725,0.0
baseline,42,blur,5,58.935,58.935,0.0
baseline,42,digital,1,90.48,90.48,0.0
baseline,42,digital,2,87.00999999999999,87.00999999999999,0.0
baseline,42,digital,3,83.5275,83.5275,0.0
