method,category,seeds,accuracy_mean,accuracy_std,delta_mean,delta_std,delta_min,delta_max
augmix,blur,3,85.596,0.49200940031670376,12.527333333333337,0.7089644443364808,12.035499999999999,13.340000000000003
augmix,digital,3,85.87116666666667,0.04204858301219816,6.9979999999999905,0.25584565659788905,6.7099999999999795,7.198999999999998
augmix,noise,3,79.39933333333333,1.2087437004317079,26.85533333333333,2.988372355201624,24.432666666666663,30.194666666666656
augmix,weather,3,89.41449999999999,0.3117226331211701,4.569499999999995,1.013911731858348,3.778499999999994,5.7124999999999915
baseline,blur,3,73.06866666666667,0.21790441329475316,0.0,0.0,0.0,0.0
baseline,digital,3,78.87316666666668,0.24282006369601034,0.0,0.0,0.0,0.0
baseline,noise,3,52.544000000000004,2.7394605308344926,0.0,0.0,0.0,0.0
baseline,weather,3,84.845,0.9155036865026829,0.0,0.0,0.0,0.0
cutmix,blur,3,72.24083333333334,0.7309768008174657,-0.8278333333333308,0.541678948578707,-1.2595000000000027,-0.21999999999999886
cutmix,digital,3,77.07466666666666,0.23287836596243144,-1.7985000000000042,0.05436221113972337,-1.838000000000008,-1.7365000000000066
cutmix,noise,3,41.01511111111111,1.54422944946423,-11.528888888888888,4.268080043679973,-14.397333333333329,-6.624000000000002
cutmix,weather,3,86.70333333333333,0.3543742136969516,1.8583333333333343,0.6095552340299732,1.3485000000000014,2.5335000000000036
mixup,blur,3,79.5765,0.6364988216799738,6.507833333333328,0.5907906425573523,5.869,7.034499999999994
mixup,digital,3,83.46233333333333,0.2337575310729722,4.589166666666666,0.18869110560207306,4.427499999999995,4.796499999999995
mixup,noise,3,55.92422222222223,3.287656736159483,3.3802222222222227,4.871473714200676,-1.5300000000000011,8.211999999999996
mixup,weather,3,89.52433333333333,0.5130938835469768,4.679333333333337,1.428518229961841,3.2550000000000097,6.111999999999995
randaugment,blur,3,80.62833333333333,0.35449623881408365,7.559666666666668,0.3173374912192537,7.1980000000000075,7.791499999999999
randaugment,digital,3,83.01683333333334,0.675134492774094,4.143666666666661,0.4625800831567755,3.6099999999999994,4.429999999999993
randaugment,noise,3,69.57422222222222,0.8133555552519766,17.03022222222222,3.5458241062681863,14.54866666666667,21.09133333333333
randaugment,weather,3,89.17516666666666,0.4102329622706228,4.330166666666666,0.6153073080447963,3.8859999999999957,5.032499999999999
