method,seed,corruption,accuracy,baseline,delta
augmix,42,brightness,93.904,92.694,1.2099999999999937
augmix,42,contrast,86.404,75.692,10.712000000000003
augmix,42,defocus_blur,93.036,82.34200000000001,10.693999999999988
augmix,42,elastic_transform,88.80199999999999,84.262,4.539999999999992
augmix,42,fog,91.39,87.458,3.932000000000002
augmix,42,frost,86.478,74.96000000000001,11.517999999999986
augmix,42,gaussian_noise,77.04400000000001,48.376,28.668000000000013
augmix,42,glass_blur,70.42,53.010000000000005,17.409999999999997
augmix,42,impulse_noise,81.2,55.146,26.054000000000002
augmix,42,jpeg_compression,84.42,79.49600000000001,4.923999999999992
augmix,42,motion_blur,89.94800000000001,78.866,11.082000000000008
augmix,42,pixelate,84.05199999999999,75.888,8.163999999999987
augmix,42,shot_noise,83.21000000000001,60.116,23.09400000000001
augmix,42,snow,86.80199999999999,80.612,6.189999999999998
augmix,42,zoom_blur,91.244,77.07000000000001,14.173999999999992
augmix,43,brightness,93.52799999999999,92.944,0.583999999999989
augmix,43,contrast,84.80199999999999,76.408,8.393999999999991
augmix,43,defocus_blur,92.50800000000001,82.534,9.974000000000004
augmix,43,elastic_transform,88.53200000000001,84.346,4.186000000000007
augmix,43,fog,90.858,87.664,3.1940000000000026
augmix,43,frost,85.38399999999999,76.848,8.535999999999987
augmix,43,gaussian_noise,73.66,46.562,27.098
augmix,43,glass_blur,68.756,54.888,13.868000000000002
augmix,43,impulse_noise,79.974,55.738,24.236000000000004
augmix,43,jpeg_compression,84.648,79.588,5.060000000000002
augmix,43,motion_blur,89.298,77.24600000000001,12.051999999999992
augmix,43,pixelate,85.422,74.26599999999999,11.156000000000006
augmix,43,shot_noise,80.65599999999999,58.69200000000001,21.963999999999984
augmix,43,snow,86.46799999999999,81.912,4.555999999999983
augmix,43,zoom_blur,90.52000000000001,78.272,12.248000000000005
augmix,44,brightness,93.914,93.428,0.4860000000000042
augmix,44,contrast,86.258,77.134,9.123999999999995
augmix,44,defocus_blur,92.934,82.40599999999999,10.528000000000006
augmix,44,elastic_transform,88.44000000000001,84.642,3.798000000000016
augmix,44,fog,91.298,88.9,2.397999999999996
augmix,44,frost,86.264,78.15,8.11399999999999
augmix,44,gaussian_noise,75.352,42.536,32.816
augmix,44,glass_blur,67.506,54.342,13.164000000000001
augmix,44,impulse_noise,81.06800000000001,50.275999999999996,30.792000000000016
augmix,44,jpeg_compression,84.85,79.588,5.2620000000000005
augmix,44,motion_blur,89.906,78.386,11.52000000000001
augmix,44,pixelate,83.824,75.16799999999999,8.656000000000006
augmix,44,shot_noise,82.42999999999999,55.45399999999999,26.976
augmix,44,snow,86.686,82.57000000000001,4.116
augmix,44,zoom_blur,91.076,77.462,13.61399999999999
baseline,42,brightness,92.694,92.694,0.0
baseline,42,contrast,75.692,75.692,0.0
baseline,42,defocus_blur,82.34200000000001,82.34200000000001,0.0
baseline,42,elastic_transform,84.262,84.262,0.0
baseline,42,fog,87.458,87.458,0.0
baseline,42,frost,74.96000000000001,74.96000000000001,0.0
baseline,42,gaussian_noise,48.376,48.376,0.0
baseline,42,glass_blur,53.010000000000005,53.010000000000005,0.0
baseline,42,impulse_noise,55.146,55.146,0.0
baseline,42,jpeg_compression,79.49600000000001,79.49600000000001,0.0
baseline,42,motion_blur,78.866,78.866,0.0
baseline,42,pixelate,75.888,75.888,0.0
baseline,42,shot_noise,60.116,60.116,0.0
baseline,42,snow,80.612,80.612,0.0
baseline,42,zoom_blur,77.07000000000001,77.07000000000001,0.0
baseline,43,brightness,92.944,92.944,0.0
baseline,43,contrast,76.408,76.408,0.0
baseline,43,defocus_blur,82.534,82.534,0.0
baseline,43,elastic_transform,84.346,84.346,0.0
baseline,43,fog,87.664,87.664,0.0
baseline,43,frost,76.848,76.848,0.0
baseline,43,gaussian_noise,46.562,46.562,0.0
baseline,43,glass_blur,54.888,54.888,0.0
baseline,43,impulse_noise,55.738,55.738,0.0
baseline,43,jpeg_compression,79.588,79.588,0.0
baseline,43,motion_blur,77.24600000000001,77.24600000000001,0.0
baseline,43,pixelate,74.26599999999999,74.26599999999999,0.0
baseline,43,shot_noise,58.69200000000001,58.69200000000001,0.0
baseline,43,snow,81.912,81.912,0.0
baseline,43,zoom_blur,78.272,78.272,0.0
baseline,44,brightness,93.428,93.428,0.0
baseline,44,contrast,77.134,77.134,0.0
baseline,44,defocus_blur,82.40599999999999,82.40599999999999,0.0
baseline,44,elastic_transform,84.642,84.642,0.0
baseline,44,fog,88.9,88.9,0.0
baseline,44,frost,78.15,78.15,0.0
baseline,44,gaussian_noise,42.536,42.536,0.0
baseline,44,glass_blur,54.342,54.342,0.0
baseline,44,impulse_noise,50.275999999999996,50.275999999999996,0.0
baseline,44,jpeg_compression,79.588,79.588,0.0
baseline,44,motion_blur,78.386,78.386,0.0
baseline,44,pixelate,75.16799999999999,75.16799999999999,0.0
baseline,44,shot_noise,55.45399999999999,55.45399999999999,0.0
