method,seed,severity,accuracy,baseline,delta
augmix,42,1,91.78933333333333,86.57466666666666,5.214666666666673
augmix,42,2,89.87066666666666,81.22,8.650666666666666
augmix,42,3,87.54066666666668,75.55666666666666,11.984000000000023
augmix,42,4,83.498,68.46133333333334,15.036666666666662
augmix,42,5,76.75266666666667,56.85,19.90266666666667
augmix,43,1,91.29733333333334,87.242,4.055333333333337
augmix,43,2,89.20533333333333,81.80199999999999,7.403333333333336
augmix,43,3,86.756,75.632,11.123999999999995
augmix,43,4,82.56933333333333,68.28866666666666,14.280666666666676
augmix,43,5,75.17666666666668,56.337999999999994,18.838666666666683
augmix,44,1,91.51866666666666,87.30333333333333,4.215333333333334
augmix,44,2,89.60133333333333,81.48133333333334,8.11999999999999
augmix,44,3,87.24133333333333,74.994,12.24733333333333
augmix,44,4,82.90599999999999,67.382,15.523999999999987
augmix,44,5,76.00133333333333,55.65333333333333,20.348000000000006
baseline,42,1,86.57466666666666,86.57466666666666,0.0
baseline,42,2,81.22,81.22,0.0
baseline,42,3,75.55666666666666,75.55666666666666,0.0
baseline,42,4,68.46133333333334,68.46133333333334,0.0
baseline,42,5,56.85,56.85,0.0
baseline,43,1,87.242,87.242,0.0
baseline,43,2,81.80199999999999,81.80199999999999,0.0
baseline,43,3,75.632,75.632,0.0
baseline,43,4,68.28866666666666,68.28866666666666,0.0
baseline,43,5,56.337999999999994,56.337999999999994,0.0
baseline,44,1,87.30333333333333,87.30333333333333,0.0
baseline,44,2,81.48133333333334,81.48133333333334,0.0
baseline,44,3,74.994,74.994,0.0
baseline,44,4,67.382,67.382,0.0
baseline,44,5,55.65333333333333,55.65333333333333,0.0
cutmix,42,1,86.31,86.57466666666666,-0.26466666666665617
cutmix,42,2,79.09466666666667,81.22,-2.12533333333333
cutmix,42,3,71.78933333333333,75.55666666666666,-3.767333333333326
cutmix,42,4,63.92466666666667,68.46133333333334,-4.536666666666676
cutmix,42,5,52.53,56.85,-4.32
cutmix,43,1,86.248,87.242,-0.9939999999999998
cutmix,43,2,78.96333333333334,81.80199999999999,-2.8386666666666542
cutmix,43,3,71.96466666666667,75.632,-3.667333333333332
cutmix,43,4,64.718,68.28866666666666,-3.5706666666666536
cutmix,43,5,53.379333333333335,56.337999999999994,-2.958666666666659
cutmix,44,1,86.626,87.30333333333333,-0.6773333333333227
cutmix,44,2,79.768,81.48133333333334,-1.7133333333333383
cutmix,44,3,72.86866666666667,74.994,-2.12533333333333
cutmix,44,4,65.31133333333334,67.382,-2.0706666666666678
cutmix,44,5,53.62466666666667,55.65333333333333,-2.028666666666659
mixup,42,1,89.766,86.57466666666666,3.191333333333347
mixup,42,2,85.36999999999999,81.22,4.1499999999999915
mixup,42,3,80.42866666666667,75.55666666666666,4.872000000000014
mixup,42,4,74.304,68.46133333333334,5.842666666666659
mixup,42,5,65.624,56.85,8.773999999999994
mixup,43,1,89.626,87.242,2.3840000000000003
mixup,43,2,84.83933333333333,81.80199999999999,3.0373333333333363
mixup,43,3,79.32533333333332,75.632,3.693333333333314
mixup,43,4,72.41666666666667,68.28866666666666,4.128000000000014
mixup,43,5,63.23066666666667,56.337999999999994,6.892666666666678
mixup,44,1,89.33466666666666,87.30333333333333,2.031333333333336
mixup,44,2,84.82933333333334,81.48133333333334,3.347999999999999
mixup,44,3,80.05733333333335,74.994,5.063333333333347
mixup,44,4,73.77666666666667,67.382,6.394666666666666
mixup,44,5,65.09666666666666,55.65333333333333,9.443333333333335
randaugment,42,1,90.654,86.57466666666666,4.079333333333338
randaugment,42,2,87.462,81.22,6.242000000000004
randaugment,42,3,83.23866666666666,75.55666666666666,7.682000000000002
randaugment,42,4,77.29400000000001,68.46133333333334,8.832666666666668
randaugment,42,5,67.38000000000001,56.85,10.530000000000008
randaugment,43,1,90.622,87.242,3.3799999999999955
randaugment,43,2,87.36133333333333,81.80199999999999,5.559333333333342
randaugment,43,3,83.11333333333333,75.632,7.481333333333325
randaugment,43,4,76.924,68.28866666666666,8.63533333333335
randaugment,43,5,67.364,56.337999999999994,11.02600000000001
randaugment,44,1,91.068,87.30333333333333,3.7646666666666704
randaugment,44,2,87.98266666666667,81.48133333333334,6.501333333333335
randaugment,44,3,83.64,74.994,8.646
randaugment,44,4,77.49866666666667,67.382,10.11666666666666
randaugment,44,5,68.40133333333333,55.65333333333333,12.747999999999998
