method,severity,seeds,accuracy_mean,accuracy_std,delta_mean,delta_std,delta_min,delta_max
augmix,1,3,91.5351111111111,0.24641188042546264,4.495111111111115,0.6282675768716314,4.055333333333337,5.214666666666673
augmix,2,3,89.55911111111111,0.33467020803792674,8.057999999999998,0.6259737303682227,7.403333333333336,8.650666666666666
augmix,3,3,87.17933333333333,0.39599046004222055,11.785111111111116,0.5874836483146092,11.123999999999995,12.24733333333333
augmix,4,3,82.99111111111111,0.47014717947721146,14.947111111111107,0.6264859077366216,14.280666666666676,15.523999999999987
augmix,5,3,75.9768888888889,0.7882843066737678,19.696444444444452,0.7755111098375523,18.838666666666683,20.348000000000006
baseline,1,3,87.04,0.4041556355882989,0.0,0.0,0.0,0.0
baseline,2,3,81.50111111111111,0.2915036369762278,0.0,0.0,0.0,0.0
baseline,3,3,75.39422222222221,0.348643296433691,0.0,0.0,0.0,0.0
baseline,4,3,68.044,0.5797727524163588,0.0,0.0,0.0,0.0
baseline,5,3,56.28044444444444,0.6004059120788706,0.0,0.0,0.0,0.0
cutmix,1,3,86.39466666666668,0.20272477237213754,-0.6453333333333262,0.365718167142106,-0.9939999999999998,-0.26466666666665617
cutmix,2,3,79.27533333333334,0.43168558517101796,-2.225777777777774,0.569351027567864,-2.8386666666666542,-1.7133333333333383
cutmix,3,3,72.20755555555556,0.5792118527536954,-3.1866666666666625,0.920500588448118,-3.767333333333326,-2.12533333333333
cutmix,4,3,64.65133333333334,0.6957330267023691,-3.3926666666666656,1.2425988894249047,-4.536666666666676,-2.0706666666666678
cutmix,5,3,53.178,0.5744346012481415,-3.1024444444444392,1.152413184646964,-4.32,-2.028666666666659
mixup,1,3,89.57555555555557,0.22004679636975494,2.535555555555561,0.5946652964608093,2.031333333333336,3.191333333333347
mixup,2,3,85.01288888888888,0.30930770966669274,3.5117777777777754,0.5741290344061528,3.0373333333333363,4.1499999999999915
mixup,3,3,79.93711111111111,0.5614055113268497,4.542888888888892,0.7419303151864202,3.693333333333314,5.063333333333347
mixup,4,3,73.49911111111112,0.9737990514436675,5.455111111111113,1.1819872782419882,4.128000000000014,6.394666666666666
mixup,5,3,64.65044444444445,1.257516129047578,8.370000000000003,1.322454956174725,6.892666666666678,9.443333333333335
randaugment,1,3,90.78133333333334,0.2487756686923608,3.7413333333333347,0.35025006939487446,3.3799999999999955,4.079333333333338
randaugment,2,3,87.60200000000002,0.3334872977757636,6.1008888888888935,0.486595580805309,5.559333333333342,6.501333333333335
randaugment,3,3,83.33066666666666,0.2751225989344528,7.936444444444443,0.6226303820025139,7.481333333333325,8.646
randaugment,4,3,77.2388888888889,0.29127027031670855,9.194888888888892,0.8043573924660601,8.63533333333335,10.11666666666666
randaugment,5,3,67.71511111111111,0.5943397207857573,11.434666666666672,1.1641036609053845,10.530000000000008,12.747999999999998
